sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,holding,grade
-0.2413,-0.3891,-0.3029,-0.6178,472,0.9664,0.4725,1.0788,-0.000295,1.1566,0.1666,0.302,1.2816,-0.3517,764,-0.000295,0.023378,-0.349,0.72719938,BTC,4h,EWMAC_8_32,1d,F
0.6073,1.0825,0.4217,-0.4642,124,1.1595,0.4843,1.2349,0.002418,1.1301,0.0554,0.548,1.4932,0.4536,254,0.002418,0.043865,0.8785,0.38051695,BTC,4h,EWMAC_8_32,3d,C
0.5947,0.943,0.4595,-0.3945,102,1.2479,0.4954,1.271,0.005072,1.2183,0.0238,0.1259,0.6612,0.417,109,0.005072,0.061555,0.8602,0.39157154,BTC,4h,EWMAC_8_32,1w,C
0.1581,0.2599,-0.0541,-0.5192,726,1.0227,0.4856,1.0833,0.000193,1.2033,0.1666,0.3507,1.2508,-0.0578,764,0.000193,0.023358,0.2287,0.81919751,BTC,4h,EWMAC_16_64,1d,D
0.4972,0.8788,0.2944,-0.4544,148,1.1288,0.4882,1.1835,0.001981,1.097,0.0554,0.5351,1.5139,0.3004,254,0.001981,0.043897,0.7192,0.47268854,BTC,4h,EWMAC_16_64,3d,D
0.717,1.2835,0.5826,-0.4263,60,1.3063,0.5138,1.2363,0.006103,1.274,0.0238,0.4356,0.514,0.5906,109,0.006103,0.061443,1.037,0.30203204,BTC,4h,EWMAC_16_64,1w,C
-0.7645,-1.2322,-0.4732,-0.754,726,0.8973,0.4647,1.0338,-0.000936,1.0075,0.1666,0.3854,1.3114,-0.6028,764,-0.000936,0.023389,-1.1058,0.26917595,BTC,4h,DualMom_63,1d,F
-0.5326,-0.7917,-0.4849,-0.647,249,0.878,0.4843,0.9351,-0.002126,0.8104,0.0554,-0.0228,1.644,-0.5451,254,-0.002126,0.043984,-0.7703,0.44181293,BTC,4h,DualMom_63,3d,F
0.8009,1.2184,0.6475,-0.4514,41,1.3483,0.5413,1.1426,0.006808,1.3058,0.0238,-0.1343,0.7893,0.7099,109,0.006808,0.061357,1.1584,0.24924856,BTC,4h,DualMom_63,1w,C
-0.3788,-0.6065,-0.3531,-0.6674,726,0.9477,0.4725,1.058,-0.000463,1.0401,0.1666,0.3055,1.2889,-0.43,764,-0.000463,0.023383,-0.5478,0.58395905,BTC,4h,DualMom_126,1d,F
-0.2708,-0.4432,-0.3327,-0.66,242,0.9361,0.4803,1.0128,-0.001081,0.9291,0.0554,0.361,1.6469,-0.4047,254,-0.001081,0.043998,-0.3917,0.69564611,BTC,4h,DualMom_126,3d,F
0.3287,0.5574,0.089,-0.5688,101,1.1302,0.4954,1.1511,0.002811,1.127,0.0238,0.3913,0.6054,0.1088,109,0.002811,0.061737,0.4754,0.63547692,BTC,4h,DualMom_126,1w,D
0.4192,0.7238,0.1121,-0.6023,719,1.0605,0.4804,1.1472,0.000739,1.1015,0.1666,0.6135,2.673,0.1465,764,0.000739,0.033684,0.6063,0.54450347,ETH,4h,EWMAC_8_32,1d,D
0.3009,0.5622,-0.049,-0.5461,142,1.0729,0.4843,1.1427,0.001715,1.2511,0.0554,0.4284,0.7613,-0.0551,254,0.001715,0.062817,0.4352,0.66375649,ETH,4h,EWMAC_8_32,3d,D
0.2591,0.4546,-0.1034,-0.6224,72,1.098,0.4679,1.2487,0.003553,1.1205,0.0238,0.3091,1.3316,-0.1299,109,0.003553,0.098986,0.3747,0.70859618,ETH,4h,EWMAC_8_32,1w,D
-0.3611,-0.605,-0.4586,-0.7739,719,0.9507,0.4607,1.1127,-0.000637,1.0557,0.1666,0.5787,2.7606,-0.6004,764,-0.000637,0.033727,-0.5223,0.60162625,ETH,4h,EWMAC_16_64,1d,F
-0.569,-0.9927,-0.5481,-0.8558,242,0.8753,0.4764,0.9621,-0.003245,1.0059,0.0554,0.3431,0.8836,-0.7341,254,-0.003245,0.062835,-0.823,0.41127937,ETH,4h,EWMAC_16_64,3d,F
0.5101,0.877,0.1744,-0.682,82,1.2024,0.5229,1.0969,0.006979,1.1205,0.0238,0.2173,1.3306,0.265,109,0.006979,0.098767,0.7378,0.46226324,ETH,4h,EWMAC_16_64,1w,C
