sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,n_long,n_short,mean_long,mean_short,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
-59.6973,-75.4869,-1.0,-1.0,24991,0.2945,0.2673,0.8073,-0.000977,0.5161,0.2174,-0.7943,23.599,-1.0,24996,-0.000977,0.002476,-62.4183,0.0,11863,13133,-0.0009792812862284767,-0.000975827849516707,BTC,5m,vwap_mr,mean_reversion,15m,F,False,False
-17.0161,-21.4888,-0.9996,-0.9996,7914,0.5341,0.3798,0.8721,-0.000966,0.6846,0.0688,-0.3667,10.9624,-0.9996,7917,-0.000966,0.004831,-17.7917,0.0,3807,4110,-0.000979509277624595,-0.0009536690561665793,BTC,5m,vwap_mr,mean_reversion,1h,F,False,False
-4.433,-5.9655,-0.9703,-0.9014,2275,0.7431,0.4416,0.9397,-0.000949,0.8262,0.0198,0.2421,7.1129,-0.8967,2276,-0.000949,0.00977,-4.635,3.77e-06,1097,1179,-0.0010347684127944663,-0.0008696425860863499,BTC,5m,vwap_mr,mean_reversion,4h,F,False,False
-43.9289,-57.1592,-1.0,-1.0,13186,0.2951,0.2602,0.839,-0.000977,0.5535,0.1147,-0.8075,30.2262,-1.0,13190,-0.000977,0.002444,-45.9312,0.0,6586,6604,-0.0009751451250263023,-0.0009798145898617394,BTC,5m,stoch_rsi,mean_reversion,15m,F,False,False
-16.3504,-21.1562,-0.999,-0.9988,6720,0.527,0.3624,0.9269,-0.000983,0.7367,0.0584,-0.4761,10.388,-0.9988,6721,-0.000983,0.004716,-17.0956,0.0,3342,3379,-0.0009785976918503562,-0.000988053748090052,BTC,5m,stoch_rsi,mean_reversion,1h,F,False,False
-6.2948,-8.1459,-0.9817,-0.9538,2162,0.6563,0.4145,0.927,-0.001345,0.8108,0.0188,-0.3975,4.8329,-0.9508,2164,-0.001345,0.009509,-6.5817,0.0,1085,1079,-0.0013502774559919217,-0.0013403621004110927,BTC,5m,stoch_rsi,mean_reversion,4h,F,False,False
-67.8367,-97.2505,-1.0,-1.0,31017,0.3031,0.2468,0.9253,-0.001002,0.6049,0.2697,0.8193,22.8364,-1.0,31018,-0.001002,0.002487,-70.9288,0.0,15818,15200,-0.001003143803361753,-0.0009999504459665936,BTC,5m,ema_ribbon,trend,15m,F,False,False
-18.1784,-25.2296,-0.9998,-0.9999,8813,0.536,0.3435,1.0243,-0.000988,0.8621,0.0766,0.02,12.1442,-0.9999,8814,-0.000988,0.004878,-19.007,0.0,4452,4362,-0.0009920103962767362,-0.000983037230761902,BTC,5m,ema_ribbon,trend,1h,F,False,False
-4.0142,-5.9235,-0.9522,-0.8926,2322,0.7705,0.4093,1.1121,-0.000836,1.0143,0.0204,0.2807,7.8053,-0.8743,2348,-0.000836,0.009654,-4.1972,2.803e-05,1215,1133,-0.000956437036530923,-0.000707195170717973,BTC,5m,ema_ribbon,trend,4h,F,False,False
-14.0435,-15.6418,-0.9825,-0.9364,2750,0.3562,0.3057,0.8089,-0.000997,0.5375,0.0239,-7.1546,206.0488,-0.9368,2751,-0.000997,0.00356,-14.6837,0.0,1430,1321,-0.0009613118990615927,-0.0010350801566185995,BTC,5m,rsi_extreme,mean_reversion,15m,F,False,False
-9.1705,-11.6936,-0.9784,-0.9185,2110,0.5184,0.3709,0.8792,-0.00115,0.6762,0.0187,-0.3239,14.7385,-0.9182,2146,-0.00115,0.005558,-9.5885,0.0,1111,1035,-0.0010681166340537243,-0.001238747936128519,BTC,5m,rsi_extreme,mean_reversion,1h,F,False,False
-4.2492,-5.4111,-0.9525,-0.8264,1278,0.683,0.4484,0.8402,-0.001251,0.7035,0.0113,0.1379,10.3649,-0.8158,1298,-0.001251,0.010144,-4.4429,9.63e-06,686,612,-0.0011078803574696477,-0.0014112454671687319,BTC,5m,rsi_extreme,mean_reversion,4h,F,False,False
-22.4547,-33.0071,-0.9997,-0.9998,7992,0.468,0.329,0.9543,-0.001031,0.7835,0.0695,0.5579,12.6995,-0.9998,7993,-0.001031,0.003926,-23.4782,0.0,3959,4034,-0.0010344402699425667,-0.0010275384885886014,BTC,5m,momentum,trend,15m,F,False,False
-9.8411,-13.7947,-0.9929,-0.9864,3796,0.6145,0.3831,0.9897,-0.001091,0.8788,0.0332,-0.1589,10.0659,-0.9857,3814,-0.001091,0.006548,-10.2897,0.0,1924,1890,-0.0011206529394801362,-0.0010607085450774435,BTC,5m,momentum,trend,1h,F,False,False
-1.7911,-2.7881,-0.7987,-0.7014,1484,0.8715,0.4363,1.1259,-0.00054,0.9884,0.013,0.5029,3.7356,-0.5927,1492,-0.00054,0.011137,-1.8728,0.06129414,742,750,-0.0006112194659778638,-0.00046946445087594016,BTC,5m,momentum,trend,4h,F,False,False
-32.0154,-46.9781,-0.9998,-0.9999,8094,0.3228,0.2322,1.0676,-0.001096,0.6335,0.0705,0.8254,20.9042,-0.9999,8106,-0.001096,0.002947,-33.4747,0.0,4071,4035,-0.0011299301506793077,-0.0010607991664209984,BTC,5m,range_breakout,trend,15m,F,False,False
-14.0268,-20.2999,-0.9971,-0.9951,4731,0.5212,0.3257,1.0787,-0.001104,0.842,0.0412,0.4423,10.5313,-0.995,4743,-0.001104,0.005185,-14.6662,0.0,2392,2351,-0.0011458089069208688,-0.0010617160647285282,BTC,5m,range_breakout,trend,1h,F,False,False
-3.9159,-5.7882,-0.9703,-0.8481,1910,0.7586,0.4085,1.0984,-0.000931,0.9397,0.0168,0.461,5.5047,-0.8493,1929,-0.000931,0.009986,-4.0944,4.407e-05,977,952,-0.0010201526379032475,-0.0008392961346934866,BTC,5m,range_breakout,trend,4h,F,False,False
-43.7748,-60.1045,-1.0,-1.0,11832,0.2904,0.2529,0.8582,-0.001003,0.5405,0.1029,0.1434,9.7665,-1.0,11837,-0.001003,0.002385,-45.7701,0.0,5940,5897,-0.000985900801295246,-0.0010209650251794859,BTC,5m,macd_scalp,trend,15m,F,False,False
-17.1077,-23.7442,-0.9992,-0.9991,6472,0.5073,0.3408,0.9812,-0.001065,0.7309,0.0563,0.3061,9.3192,-0.9991,6476,-0.001065,0.00479,-17.8874,0.0,3213,3263,-0.0010518575806732872,-0.0010773345597763853,BTC,5m,macd_scalp,trend,1h,F,False,False
-4.0015,-5.9384,-0.925,-0.9007,1975,0.7609,0.4233,1.0364,-0.000871,0.9036,0.0185,0.719,6.4337,-0.8588,2133,-0.000871,0.009617,-4.1839,2.981e-05,1030,1103,-0.0008899463332852276,-0.0008537778816744521,BTC,5m,macd_scalp,trend,4h,F,False,False
-12.762,-13.5044,-0.9711,-0.8813,2059,0.2977,0.2658,0.8225,-0.00102,0.5194,0.0179,-10.3762,294.5523,-0.8796,2062,-0.00102,0.003471,-13.3437,0.0,982,1080,-0.0011097021515282203,-0.0009385496224459148,BTC,5m,keltner_mr,mean_reversion,15m,F,False,False
-8.0852,-9.7929,-0.9574,-0.8406,1671,0.5161,0.3718,0.8719,-0.001049,0.6455,0.0146,-0.8524,10.7329,-0.8323,1681,-0.001049,0.005087,-8.4538,0.0,815,866,-0.0010608465180801264,-0.0010375297184100735,BTC,5m,keltner_mr,mean_reversion,1h,F,False,False
-5.9086,-7.1092,-0.963,-0.8598,1087,0.5688,0.4258,0.7669,-0.001707,0.594,0.0096,-0.7115,4.6716,-0.854,1099,-0.001707,0.009161,-6.1779,0.0,539,560,-0.002033741536695975,-0.0013930620552900924,BTC,5m,keltner_mr,mean_reversion,4h,F,False,False
-28.462,-38.4902,-0.9963,-0.9932,4724,0.2719,0.2385,0.8682,-0.001051,0.5047,0.0411,0.0354,12.6984,-0.9931,4726,-0.001051,0.002428,-29.7593,0.0,2391,2335,-0.0010798381071613424,-0.0010213304129711874,BTC,5m,dual_ema_adx,trend,15m,F,False,False
-11.7163,-15.5328,-0.9891,-0.9721,3291,0.5047,0.3444,0.9609,-0.001069,0.7102,0.0286,-0.3454,25.1122,-0.9716,3293,-0.001069,0.005006,-12.2503,0.0,1671,1622,-0.00111690572721544,-0.0010189082617472083,BTC,5m,dual_ema_adx,trend,1h,F,False,False
-4.4387,-5.7466,-0.9389,-0.8773,1664,0.7081,0.4318,0.9316,-0.001092,0.8447,0.0145,-0.3023,5.9405,-0.85,1665,-0.001092,0.009604,-4.641,3.74e-06,838,827,-0.0012827619712663817,-0.0008993964208598454,BTC,5m,dual_ema_adx,trend,4h,F,False,False
-16.5868,-25.1617,-0.9899,-0.974,3405,0.4079,0.265,1.1313,-0.00106,0.7559,0.0297,0.8477,16.4999,-0.9737,3411,-0.00106,0.003569,-17.3428,0.0,1568,1843,-0.001138683530027257,-0.000992427400814432,BTC,5m,vol_spike_brk,trend,15m,F,False,False
-8.8552,-13.0008,-0.9797,-0.9376,2530,0.5736,0.3358,1.1345,-0.001065,0.8935,0.022,0.3915,8.2162,-0.9355,2534,-0.001065,0.005788,-9.2588,0.0,1201,1333,-0.0011338898919521104,-0.0010021932831978685,BTC,5m,vol_spike_brk,trend,1h,F,False,False
-3.8403,-5.5701,-0.9544,-0.8294,1463,0.7292,0.3981,1.1026,-0.001112,1.0294,0.0128,0.1132,8.1639,-0.8199,1467,-0.001112,0.010604,-4.0154,6.235e-05,668,799,-0.0011171831091967576,-0.0011070616530497316,BTC,5m,vol_spike_brk,trend,4h,F,False,False
-25.6444,-32.1456,-0.9948,-0.989,4537,0.2827,0.2631,0.7917,-0.00099,0.4945,0.0395,-0.8309,35.6362,-0.989,4538,-0.00099,0.002488,-26.8133,0.0,2138,2400,-0.0009880649900070513,-0.000992033381653548,BTC,5m,stoch_cross,mean_reversion,15m,F,False,False
-12.4465,-16.1254,-0.9896,-0.9715,3348,0.4962,0.3547,0.9027,-0.001051,0.6908,0.0291,-0.326,10.7512,-0.9715,3349,-0.001051,0.004671,-13.0139,0.0,1565,1784,-0.0009923216664903887,-0.001101544798937571,BTC,5m,stoch_cross,mean_reversion,1h,F,False,False
-3.6652,-5.0078,-0.9436,-0.7972,1614,0.75,0.4303,0.9928,-0.0009,0.8637,0.014,0.1293,5.7357,-0.7825,1615,-0.0009,0.009435,-3.8322,0.00013185,746,869,-0.0009101777593741398,-0.0008906607082146018,BTC,5m,stoch_cross,mean_reversion,4h,F,False,False
-37.1704,-44.3326,-1.0,-1.0,23203,0.4462,0.3649,0.7764,-0.001025,0.5984,0.2018,-1.4985,35.9955,-1.0,23210,-0.001025,0.004019,-38.8648,0.0,10711,12499,-0.0010245912349421704,-0.0010260038029110696,ETH,5m,vwap_mr,mean_reversion,15m,F,False,False
-11.997,-14.355,-0.9998,-0.9998,7616,0.6441,0.4373,0.8289,-0.001094,0.7273,0.0662,-1.0244,10.9125,-0.9998,7618,-0.001094,0.00761,-12.5439,0.0,3579,4039,-0.0011140742175364603,-0.0010755740114229077,ETH,5m,vwap_mr,mean_reversion,1h,F,False,False
-4.5211,-5.5878,-0.99,-0.9753,2234,0.7457,0.4695,0.8426,-0.00152,0.741,0.0195,-0.5342,3.6528,-0.9748,2247,-0.00152,0.015242,-4.7272,2.42e-06,1046,1201,-0.0015164529223551592,-0.0015230720215317582,ETH,5m,vwap_mr,mean_reversion,4h,F,False,False
-30.4188,-38.404,-1.0,-1.0,13252,0.4273,0.3412,0.8253,-0.001042,0.6491,0.1153,-0.8709,21.9152,-1.0,13258,-0.001042,0.003773,-31.8054,0.0,6624,6634,-0.0010230713659443592,-0.0010614932103031488,ETH,5m,stoch_rsi,mean_reversion,15m,F,False,False
-10.591,-14.4884,-0.9991,-0.9991,6655,0.6625,0.4136,0.9394,-0.000997,0.7952,0.0585,0.3221,12.8236,-0.999,6729,-0.000997,0.007383,-11.0738,0.0,3364,3365,-0.0009672128989027016,-0.001026097134415923,ETH,5m,stoch_rsi,mean_reversion,1h,F,False,False
-3.5158,-4.6871,-0.9753,-0.951,2105,0.79,0.457,0.9386,-0.001208,0.8288,0.0188,0.0845,7.318,-0.9432,2164,-0.001208,0.015282,-3.6761,0.0002426,1117,1047,-0.0010254662553656586,-0.00140197155435585,ETH,5m,stoch_rsi,mean_reversion,4h,F,False,False
