sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
-1.8683,-3.1689,-0.5744,-0.2057,152,0.5865,0.3443,1.1171,-0.001075,0.7389,0.0033,1.5211,6.8286,-0.1815,183,-0.001075,0.006166,-2.3578,0.01944319,BTC,15m,rsi_bb_combo,combo,30m,F,False,False
-1.6962,-2.8933,-0.54,-0.2525,144,0.5934,0.3276,1.2181,-0.001309,0.6865,0.0031,1.8167,10.6473,-0.2082,174,-0.001309,0.008065,-2.1406,0.03370552,BTC,15m,rsi_bb_combo,combo,1h,F,False,False
-2.1848,-3.2773,-0.571,-0.3293,144,0.5434,0.3757,0.9029,-0.001876,0.5475,0.0031,0.8087,4.5487,-0.2824,173,-0.001876,0.008951,-2.7573,0.00645741,BTC,15m,rsi_bb_combo,combo,2h,F,False,False
-2.4929,-3.2182,-0.6607,-0.364,170,0.4952,0.3988,0.7463,-0.002476,0.6892,0.0031,-0.1127,3.9112,-0.3548,173,-0.002476,0.010353,-3.1461,0.00195015,BTC,15m,rsi_bb_combo,combo,4h,F,False,False
-1.0594,-1.4139,-0.4866,-0.2971,135,0.7483,0.4512,0.91,-0.001423,0.6935,0.0029,-0.2674,1.9569,-0.2202,164,-0.001423,0.013629,-1.337,0.18308174,BTC,15m,rsi_bb_combo,combo,8h,F,False,False
-1.0494,-1.3071,-0.6367,-0.2911,146,0.7391,0.4744,0.819,-0.001925,0.8356,0.0028,-0.7635,3.2031,-0.2786,156,-0.001925,0.018159,-1.3243,0.18734019,BTC,15m,rsi_bb_combo,combo,12h,F,False,False
-0.3362,-0.5033,-0.2631,-0.3924,115,0.9073,0.4599,1.0657,-0.000935,1.0757,0.0025,-0.0413,1.5103,-0.1593,137,-0.000935,0.025785,-0.4243,0.6719975,BTC,15m,rsi_bb_combo,combo,24h,F,False,False
-3.4298,-5.5192,-0.6436,-0.3596,286,0.4801,0.3103,1.067,-0.001429,0.7729,0.0052,1.1646,5.784,-0.3425,290,-0.001429,0.005622,-4.3285,2.072e-05,BTC,15m,rsi_bb_tight,combo,30m,F,False,False
-2.3409,-3.6488,-0.6209,-0.3515,281,0.5808,0.3569,1.0466,-0.001355,0.6418,0.0051,1.3137,8.8468,-0.3244,283,-0.001355,0.007718,-2.9543,0.00339802,BTC,15m,rsi_bb_tight,combo,1h,F,False,False
-2.5563,-3.8677,-0.6322,-0.4315,230,0.5736,0.3701,0.9763,-0.001762,0.8176,0.005,0.6736,3.797,-0.3979,281,-0.001762,0.009157,-3.2262,0.00140336,BTC,15m,rsi_bb_tight,combo,2h,F,False,False
-2.0424,-2.8818,-0.6534,-0.4295,226,0.6349,0.3993,0.9553,-0.001849,0.8451,0.0049,0.2041,3.1901,-0.4082,273,-0.001849,0.011855,-2.5776,0.01047437,BTC,15m,rsi_bb_tight,combo,4h,F,False,False
-1.5021,-2.0531,-0.6006,-0.4393,162,0.7167,0.4269,0.9622,-0.001811,0.8111,0.0045,-0.1687,2.5042,-0.3861,253,-0.001811,0.015194,-1.8957,0.05914017,BTC,15m,rsi_bb_tight,combo,8h,F,False,False
-1.5383,-1.9468,-0.6961,-0.4361,200,0.6991,0.4573,0.8297,-0.002295,0.8068,0.0042,-0.6973,2.4921,-0.438,234,-0.002295,0.018081,-1.9414,0.05340973,BTC,15m,rsi_bb_tight,combo,12h,F,False,False
-0.1033,-0.1469,-0.1345,-0.4897,134,0.9751,0.5258,0.8795,-0.000237,1.0936,0.0035,-0.2552,1.4365,-0.1028,194,-0.000237,0.025363,-0.1304,0.89642502,BTC,15m,rsi_bb_tight,combo,24h,F,False,False
-11.912,-16.7404,-0.976,-0.9972,5844,0.5431,0.3368,1.0696,-0.000967,0.8627,0.1054,0.1129,15.0065,-0.9969,5888,-0.000967,0.004933,-15.0334,0.0,BTC,15m,ema_3_8_13_vol,combo,30m,F,False,False
-8.1499,-11.5378,-0.9399,-0.9864,4255,0.6203,0.3616,1.0952,-0.00096,0.9571,0.0763,0.0198,9.8342,-0.9846,4262,-0.00096,0.006091,-10.2855,0.0,BTC,15m,ema_3_8_13_vol,combo,1h,F,False,False
-4.9336,-7.0635,-0.8857,-0.9556,3078,0.7091,0.3818,1.148,-0.000934,0.9772,0.0551,0.3077,10.5159,-0.9494,3080,-0.000934,0.008323,-6.2263,0.0,BTC,15m,ema_3_8_13_vol,combo,2h,F,False,False
-3.2084,-4.3124,-0.8313,-0.9101,1995,0.7624,0.4042,1.1237,-0.001012,1.0186,0.0374,-0.3704,9.143,-0.8946,2088,-0.001012,0.011416,-4.0492,5.328e-05,BTC,15m,ema_3_8_13_vol,combo,4h,F,False,False
-3.1317,-4.3468,-0.8413,-0.9191,1334,0.7324,0.4262,0.986,-0.001652,0.8519,0.0239,-0.0317,4.3006,-0.9059,1335,-0.001652,0.015271,-3.9524,8.144e-05,BTC,15m,ema_3_8_13_vol,combo,8h,F,False,False
-1.6988,-2.3646,-0.714,-0.8032,903,0.8213,0.4424,1.0351,-0.001223,1.006,0.0176,-0.0743,5.1775,-0.7427,981,-0.001223,0.017863,-2.144,0.0322818,BTC,15m,ema_3_8_13_vol,combo,12h,F,False,False
-0.8511,-1.3752,-0.5262,-0.7164,431,0.8808,0.4498,1.0774,-0.001113,1.0073,0.0096,0.444,1.8967,-0.5294,538,-0.001113,0.024034,-1.0741,0.28323829,BTC,15m,ema_3_8_13_vol,combo,24h,F,False,False
-11.1224,-15.2331,-0.9667,-0.995,5398,0.5505,0.3462,1.0394,-0.00095,0.865,0.0968,-0.1169,15.6511,-0.9945,5404,-0.00095,0.004976,-14.037,0.0,BTC,15m,ema_5_13_34_vol,combo,30m,F,False,False
-7.1009,-9.7287,-0.9188,-0.9763,3926,0.6441,0.375,1.0734,-0.000901,0.9559,0.0703,-0.2219,10.7391,-0.9732,3928,-0.000901,0.006304,-8.9616,0.0,BTC,15m,ema_5_13_34_vol,combo,1h,F,False,False
-4.3643,-6.2291,-0.8586,-0.9338,2836,0.7274,0.3894,1.1407,-0.000872,0.959,0.0508,0.3171,10.6164,-0.9241,2838,-0.000872,0.008437,-5.5079,4e-08,BTC,15m,ema_5_13_34_vol,combo,2h,F,False,False
-3.5635,-4.8209,-0.8398,-0.9247,1967,0.7338,0.3953,1.1224,-0.001148,1.0017,0.0352,-0.3712,9.5215,-0.9081,1968,-0.001148,0.011322,-4.4973,7.28e-06,BTC,15m,ema_5_13_34_vol,combo,4h,F,False,False
-2.3667,-3.3687,-0.7817,-0.8501,1274,0.787,0.429,1.0475,-0.001251,0.9498,0.0228,-0.0071,4.8244,-0.8244,1275,-0.001251,0.01496,-2.9868,0.00287288,BTC,15m,ema_5_13_34_vol,combo,8h,F,False,False
-2.1282,-3.1315,-0.7451,-0.8665,951,0.7801,0.4307,1.0313,-0.001571,1.0106,0.017,0.2509,4.8883,-0.8084,952,-0.001571,0.018052,-2.6859,0.00736055,BTC,15m,ema_5_13_34_vol,combo,12h,F,False,False
-0.5791,-0.9589,-0.4368,-0.6624,528,0.9177,0.453,1.1081,-0.000746,0.9762,0.0095,0.457,1.6303,-0.4196,532,-0.000746,0.023559,-0.7308,0.46520297,BTC,15m,ema_5_13_34_vol,combo,24h,F,False,False
-13.1854,-19.1655,-0.9237,-0.9773,3419,0.4204,0.2893,1.0326,-0.001076,0.7369,0.0613,0.3946,14.8602,-0.9756,3425,-0.001076,0.003784,-16.6405,0.0,BTC,15m,macd_rsi_combo,combo,30m,F,False,False
-8.0163,-11.1476,-0.8997,-0.9645,3054,0.5506,0.349,1.027,-0.001036,0.7908,0.0548,0.2109,22.273,-0.9601,3060,-0.001036,0.005666,-10.1169,0.0,BTC,15m,macd_rsi_combo,combo,1h,F,False,False
