sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,holding_bars,grade,pass_raw,pass_bonf
-163.8997,-204.0981,-1.0,-1.0,65028,0.1356,0.1587,0.7189,-0.000993,0.3262,0.5655,-2.1899,117.7692,-1.0,65029,-0.000993,0.001477,-171.3703,0.0,BTC,5m,vwap_mr,mr,5m,1,F,False,False
-84.0762,-104.2825,-1.0,-1.0,35265,0.2299,0.2294,0.7723,-0.000982,0.4505,0.3067,-2.7181,123.7959,-1.0,35266,-0.000982,0.002098,-87.9085,0.0,BTC,5m,vwap_mr,mr,10m,2,F,False,False
-59.6973,-75.4869,-1.0,-1.0,24991,0.2945,0.2673,0.8073,-0.000977,0.5161,0.2174,-0.7943,23.599,-1.0,24996,-0.000977,0.002476,-62.4183,0.0,BTC,5m,vwap_mr,mr,15m,3,F,False,False
-31.9669,-39.5912,-1.0,-1.0,14065,0.411,0.331,0.8307,-0.000981,0.6121,0.1223,-0.7615,20.9818,-1.0,14069,-0.000981,0.003483,-33.424,0.0,BTC,5m,vwap_mr,mr,30m,6,F,False,False
-22.8777,-28.5559,-0.9999,-1.0,10073,0.4754,0.3609,0.8421,-0.000993,0.6411,0.0876,-0.5439,12.023,-1.0,10076,-0.000993,0.004169,-23.9204,0.0,BTC,5m,vwap_mr,mr,45m,9,F,False,False
-17.0161,-21.4888,-0.9996,-0.9996,7914,0.5341,0.3798,0.8721,-0.000966,0.6846,0.0688,-0.3667,10.9624,-0.9996,7917,-0.000966,0.004831,-17.7917,0.0,BTC,5m,vwap_mr,mr,1h,12,F,False,False
-12.7261,-16.0733,-0.9982,-0.9973,5575,0.5743,0.3959,0.8762,-0.00104,0.6756,0.0485,-0.2398,10.7317,-0.9973,5577,-0.00104,0.005837,-13.3062,0.0,BTC,5m,vwap_mr,mr,1.5h,18,F,False,False
-8.7894,-11.2783,-0.993,-0.9873,4307,0.6482,0.4159,0.9104,-0.000968,0.7561,0.0376,-0.3338,10.7178,-0.9864,4328,-0.000968,0.00693,-9.19,0.0,BTC,5m,vwap_mr,mr,2h,24,F,False,False
-6.2165,-8.0572,-0.9812,-0.9597,2972,0.6942,0.442,0.8765,-0.001008,0.7586,0.0259,0.0082,7.8714,-0.9552,2973,-0.001008,0.008459,-6.4999,0.0,BTC,5m,vwap_mr,mr,3h,36,F,False,False
-4.433,-5.9655,-0.9703,-0.9014,2275,0.7431,0.4416,0.9397,-0.000949,0.8262,0.0198,0.2421,7.1129,-0.8967,2276,-0.000949,0.00977,-4.635,3.77e-06,BTC,5m,vwap_mr,mr,4h,48,F,False,False
-3.2535,-4.2763,-0.9172,-0.8493,1421,0.7682,0.4671,0.8763,-0.001006,0.8985,0.0134,-0.0195,7.1719,-0.8079,1537,-0.001006,0.01159,-3.4018,0.00068674,BTC,5m,vwap_mr,mr,6h,72,F,False,False
-2.6718,-3.627,-0.914,-0.7917,1080,0.7831,0.4583,0.9256,-0.001115,0.9207,0.0101,0.1613,6.1244,-0.7548,1163,-0.001115,0.013617,-2.7936,0.00529874,BTC,5m,vwap_mr,mr,8h,96,F,False,False
-1.0925,-1.5946,-0.7583,-0.6067,709,0.8847,0.4624,1.0285,-0.000708,1.0326,0.0068,0.5112,6.1325,-0.4902,785,-0.000708,0.017364,-1.1423,0.25365866,BTC,5m,vwap_mr,mr,12h,144,F,False,False
-80.4306,-104.0725,-1.0,-1.0,13463,0.1305,0.1526,0.7249,-0.000992,0.3289,0.1171,-0.2218,13.8551,-1.0,13468,-0.000992,0.001369,-84.0967,0.0,BTC,5m,stoch_rsi,mr,5m,1,F,False,False
-51.3432,-63.1394,-1.0,-1.0,13463,0.2297,0.2263,0.7855,-0.000989,0.4722,0.1171,-5.6742,259.3098,-1.0,13467,-0.000989,0.002138,-53.6834,0.0,BTC,5m,stoch_rsi,mr,10m,2,F,False,False
-43.9289,-57.1592,-1.0,-1.0,13186,0.2951,0.2602,0.839,-0.000977,0.5535,0.1147,-0.8075,30.2262,-1.0,13190,-0.000977,0.002444,-45.9312,0.0,BTC,5m,stoch_rsi,mr,15m,3,F,False,False
-28.0081,-35.9958,-1.0,-1.0,10509,0.4149,0.3244,0.8642,-0.000973,0.6439,0.0917,-0.4633,12.5926,-1.0,10544,-0.000973,0.003412,-29.2847,0.0,BTC,5m,stoch_rsi,mr,30m,6,F,False,False
-22.0566,-27.9901,-0.9998,-0.9998,8115,0.4548,0.3442,0.8664,-0.001043,0.6846,0.0706,-0.6484,12.8906,-0.9998,8117,-0.001043,0.004074,-23.062,0.0,BTC,5m,stoch_rsi,mr,45m,9,F,False,False
-16.3504,-21.1562,-0.999,-0.9988,6720,0.527,0.3624,0.9269,-0.000983,0.7367,0.0584,-0.4761,10.388,-0.9988,6721,-0.000983,0.004716,-17.0956,0.0,BTC,5m,stoch_rsi,mr,1h,12,F,False,False
-11.6715,-14.7751,-0.9968,-0.9949,4974,0.5837,0.3902,0.9124,-0.001035,0.7758,0.0433,-0.5665,9.9677,-0.9947,4975,-0.001035,0.005979,-12.2035,0.0,BTC,5m,stoch_rsi,mr,1.5h,18,F,False,False
-7.6538,-10.0772,-0.989,-0.9706,3951,0.6764,0.4112,0.9687,-0.000866,0.8415,0.0344,-0.1585,7.7834,-0.9703,3952,-0.000866,0.006803,-8.0026,0.0,BTC,5m,stoch_rsi,mr,2h,24,F,False,False
-6.632,-8.7293,-0.9804,-0.9627,2786,0.6713,0.4174,0.9371,-0.00109,0.827,0.0243,-0.2188,8.225,-0.957,2796,-0.00109,0.008315,-6.9343,0.0,BTC,5m,stoch_rsi,mr,3h,36,F,False,False
-6.2948,-8.1459,-0.9817,-0.9538,2162,0.6563,0.4145,0.927,-0.001345,0.8108,0.0188,-0.3975,4.8329,-0.9508,2164,-0.001345,0.009509,-6.5817,0.0,BTC,5m,stoch_rsi,mr,4h,48,F,False,False
-4.5049,-6.13,-0.9628,-0.9069,1473,0.6934,0.4392,0.8854,-0.001445,0.8235,0.0129,0.2514,6.8015,-0.8954,1489,-0.001445,0.01184,-4.7102,2.71e-06,BTC,5m,stoch_rsi,mr,6h,72,F,False,False
-1.2081,-1.6979,-0.675,-0.6985,1135,0.8952,0.4587,1.0563,-0.000517,0.9081,0.0099,0.1315,6.2163,-0.502,1138,-0.000517,0.01381,-1.2632,0.20679043,BTC,5m,stoch_rsi,mr,8h,96,F,False,False
-0.8113,-1.1467,-0.6288,-0.5875,639,0.916,0.4443,1.1456,-0.000512,0.9649,0.0067,0.0165,4.2242,-0.396,772,-0.000512,0.016775,-0.8483,0.3965534,BTC,5m,stoch_rsi,mr,12h,144,F,False,False
-190.874,-264.7804,-1.0,-1.0,87188,0.1484,0.1524,0.8254,-0.001001,0.3709,0.7582,1.5177,93.2116,-1.0,87189,-0.001001,0.001481,-199.5742,0.0,BTC,5m,ema_ribbon,tr,5m,1,F,False,False
-99.6407,-140.4704,-1.0,-1.0,45182,0.242,0.2102,0.9094,-0.001004,0.5295,0.3929,0.4345,17.3136,-1.0,45183,-0.001004,0.002049,-104.1824,0.0,BTC,5m,ema_ribbon,tr,10m,2,F,False,False
-67.8367,-97.2505,-1.0,-1.0,31017,0.3031,0.2468,0.9253,-0.001002,0.6049,0.2697,0.8193,22.8364,-1.0,31018,-0.001002,0.002487,-70.9288,0.0,BTC,5m,ema_ribbon,tr,15m,3,F,False,False
-35.1354,-50.5957,-1.0,-1.0,16496,0.4201,0.2973,0.993,-0.001001,0.7187,0.1436,0.6168,19.1911,-1.0,16513,-0.001001,0.003501,-36.7369,0.0,BTC,5m,ema_ribbon,tr,30m,6,F,False,False
-23.8153,-33.1548,-1.0,-1.0,11436,0.4876,0.3274,1.0018,-0.000996,0.7708,0.0997,-0.008,17.8608,-1.0,11461,-0.000996,0.004283,-24.9008,0.0,BTC,5m,ema_ribbon,tr,45m,9,F,False,False
-18.1784,-25.2296,-0.9998,-0.9999,8813,0.536,0.3435,1.0243,-0.000988,0.8621,0.0766,0.02,12.1442,-0.9999,8814,-0.000988,0.004878,-19.007,0.0,BTC,5m,ema_ribbon,tr,1h,12,F,False,False
-12.8121,-17.922,-0.9987,-0.9981,6003,0.59,0.3587,1.0547,-0.001023,0.8925,0.0524,0.1772,10.0414,-0.9981,6024,-0.001023,0.005928,-13.3961,0.0,BTC,5m,ema_ribbon,tr,1.5h,18,F,False,False
-9.7169,-13.3458,-0.9961,-0.9922,4595,0.6313,0.3858,1.0051,-0.001034,0.872,0.04,0.087,8.5107,-0.9923,4596,-0.001034,0.006902,-10.1598,0.0,BTC,5m,ema_ribbon,tr,2h,24,F,False,False
-6.0076,-8.434,-0.9818,-0.9538,3067,0.7093,0.4054,1.0405,-0.000936,0.9827,0.027,0.0868,8.3215,-0.9508,3101,-0.000936,0.008301,-6.2814,0.0,BTC,5m,ema_ribbon,tr,3h,36,F,False,False
-4.0142,-5.9235,-0.9522,-0.8926,2322,0.7705,0.4093,1.1121,-0.000836,1.0143,0.0204,0.2807,7.8053,-0.8743,2348,-0.000836,0.009654,-4.1972,2.803e-05,BTC,5m,ema_ribbon,tr,4h,48,F,False,False
-2.8114,-4.2143,-0.9369,-0.7935,1572,0.8033,0.4174,1.1213,-0.000875,1.0,0.0137,0.5452,5.7467,-0.774,1574,-0.000875,0.011809,-2.9396,0.00333458,BTC,5m,ema_ribbon,tr,6h,72,F,False,False
-1.6824,-2.4727,-0.7666,-0.7456,853,0.86,0.4401,1.094,-0.00069,0.9374,0.0103,0.2877,5.0494,-0.6041,1186,-0.00069,0.013508,-1.7591,0.07881981,BTC,5m,ema_ribbon,tr,8h,96,F,False,False
-2.1964,-3.083,-0.9291,-0.7134,791,0.7908,0.4381,1.0142,-0.00136,1.0369,0.0069,-0.0498,3.4234,-0.6953,792,-0.00136,0.016671,-2.2965,0.02190995,BTC,5m,ema_ribbon,tr,12h,144,F,False,False
-28.5616,-39.1824,-0.9816,-0.9349,2858,0.1974,0.2029,0.7755,-0.000953,0.4037,0.0249,0.8211,12.5562,-0.9348,2859,-0.000953,0.001707,-29.8634,0.0,BTC,5m,rsi_extreme,mr,5m,1,F,False,False
-19.8114,-26.5366,-0.9822,-0.9389,2858,0.2918,0.2571,0.8433,-0.000973,0.4921,0.0249,0.6034,20.5004,-0.9387,2859,-0.000973,0.002511,-20.7144,0.0,BTC,5m,rsi_extreme,mr,10m,2,F,False,False
-14.0435,-15.6418,-0.9825,-0.9364,2750,0.3562,0.3057,0.8089,-0.000997,0.5375,0.0239,-7.1546,206.0488,-0.9368,2751,-0.000997,0.00356,-14.6837,0.0,BTC,5m,rsi_extreme,mr,15m,3,F,False,False
-11.1906,-14.4644,-0.9772,-0.9183,2425,0.46,0.3406,0.8907,-0.001009,0.6275,0.0212,0.2212,21.3607,-0.917,2443,-0.001009,0.004264,-11.7007,0.0,BTC,5m,rsi_extreme,mr,30m,6,F,False,False
-9.2515,-12.1934,-0.9764,-0.9019,2269,0.5204,0.363,0.9133,-0.001011,0.6908,0.0197,0.3572,15.894,-0.9021,2270,-0.001011,0.004979,-9.6732,0.0,BTC,5m,rsi_extreme,mr,45m,9,F,False,False
-9.1705,-11.6936,-0.9784,-0.9185,2110,0.5184,0.3709,0.8792,-0.00115,0.6762,0.0187,-0.3239,14.7385,-0.9182,2146,-0.00115,0.005558,-9.5885,0.0,BTC,5m,rsi_extreme,mr,1h,12,F,False,False
-7.0269,-8.86,-0.9728,-0.8834,1919,0.5857,0.387,0.9276,-0.001092,0.7997,0.0167,-0.3206,18.1016,-0.8829,1925,-0.001092,0.006523,-7.3472,0.0,BTC,5m,rsi_extreme,mr,1.5h,18,F,False,False
-6.7344,-8.2462,-0.9772,-0.9037,1769,0.5892,0.4107,0.8454,-0.001291,0.7373,0.0154,-0.7616,12.6645,-0.9043,1775,-0.001291,0.007724,-7.0414,0.0,BTC,5m,rsi_extreme,mr,2h,24,F,False,False
-4.3969,-5.9035,-0.9597,-0.8222,1492,0.6909,0.4395,0.881,-0.001094,0.759,0.013,0.4203,8.5315,-0.8176,1497,-0.001094,0.009203,-4.5974,4.64e-06,BTC,5m,rsi_extreme,mr,3h,36,F,False,False
-4.2492,-5.4111,-0.9525,-0.8264,1278,0.683,0.4484,0.8402,-0.001251,0.7035,0.0113,0.1379,10.3649,-0.8158,1298,-0.001251,0.010144,-4.4429,9.63e-06,BTC,5m,rsi_extreme,mr,4h,48,F,False,False
-3.5804,-4.7275,-0.9746,-0.7773,1019,0.7014,0.4428,0.8825,-0.001438,0.778,0.0089,0.092,7.7166,-0.7876,1023,-0.001438,0.012283,-3.7436,0.00019154,BTC,5m,rsi_extreme,mr,6h,72,F,False,False
-1.8453,-2.4285,-0.9645,-0.5896,691,0.8193,0.4863,0.8654,-0.000985,0.921,0.0073,0.0352,5.6074,-0.6012,839,-0.000985,0.014795,-1.9294,0.05402187,BTC,5m,rsi_extreme,mr,8h,96,F,False,False
-1.3343,-1.7549,-0.8497,-0.5616,519,0.8478,0.4831,0.9072,-0.000986,0.8291,0.0054,-0.1833,4.7994,-0.5079,621,-0.000986,0.017605,-1.3951,0.16347496,BTC,5m,rsi_extreme,mr,12h,144,F,False,False
-46.4445,-69.0225,-1.0,-1.0,14951,0.3229,0.2673,0.8851,-0.001016,0.6475,0.13,1.6054,56.345,-1.0,14953,-0.001016,0.002558,-48.5615,0.0,BTC,5m,momentum,tr,5m,1,F,False,False
-29.7031,-43.875,-1.0,-1.0,10108,0.4153,0.3085,0.9307,-0.001027,0.7154,0.0879,0.4999,10.3526,-1.0,10109,-0.001027,0.003324,-31.0569,0.0,BTC,5m,momentum,tr,10m,2,F,False,False
-22.4547,-33.0071,-0.9997,-0.9998,7992,0.468,0.329,0.9543,-0.001031,0.7835,0.0695,0.5579,12.6995,-0.9998,7993,-0.001031,0.003926,-23.4782,0.0,BTC,5m,momentum,tr,15m,3,F,False,False
-14.928,-22.1182,-0.9984,-0.9976,5660,0.5461,0.3536,0.9983,-0.001053,0.8463,0.0493,0.5258,10.5561,-0.9976,5667,-0.001053,0.005081,-15.6084,0.0,BTC,5m,momentum,tr,30m,6,F,False,False
-10.893,-16.1779,-0.9949,-0.9892,4538,0.6134,0.3761,1.0174,-0.000981,0.8693,0.0395,0.3667,7.5859,-0.9892,4541,-0.000981,0.005803,-11.3895,0.0,BTC,5m,momentum,tr,45m,9,F,False,False
-9.8411,-13.7947,-0.9929,-0.9864,3796,0.6145,0.3831,0.9897,-0.001091,0.8788,0.0332,-0.1589,10.0659,-0.9857,3814,-0.001091,0.006548,-10.2897,0.0,BTC,5m,momentum,tr,1h,12,F,False,False
-6.3892,-9.4582,-0.9812,-0.9425,2956,0.7039,0.398,1.0645,-0.000928,0.9044,0.0257,0.2739,4.2845,-0.941,2957,-0.000928,0.007553,-6.6804,0.0,BTC,5m,momentum,tr,1.5h,18,F,False,False
-5.3827,-8.0578,-0.97,-0.924,2436,0.7209,0.4167,1.0089,-0.000979,0.9234,0.0212,0.4034,5.3,-0.916,2438,-0.000979,0.008586,-5.628,2e-08,BTC,5m,momentum,tr,2h,24,F,False,False
-4.3938,-6.7166,-0.9513,-0.896,1676,0.7347,0.412,1.0484,-0.001091,0.9417,0.0159,0.5263,5.7585,-0.8765,1830,-0.001091,0.010156,-4.5941,4.64e-06,BTC,5m,momentum,tr,3h,36,F,False,False
-1.7911,-2.7881,-0.7987,-0.7014,1484,0.8715,0.4363,1.1259,-0.00054,0.9884,0.013,0.5029,3.7356,-0.5927,1492,-0.00054,0.011137,-1.8728,0.06129414,BTC,5m,momentum,tr,4h,48,F,False,False
-1.1927,-1.867,-0.8246,-0.5442,1013,0.8983,0.4479,1.1073,-0.000506,0.9878,0.0095,0.6304,4.5014,-0.4785,1094,-0.000506,0.013408,-1.2471,0.21263658,BTC,5m,momentum,tr,6h,72,F,False,False
-1.3047,-1.7172,-0.8471,-0.567,862,0.8747,0.47,0.9865,-0.000708,0.9436,0.0075,-0.5297,5.0795,-0.5111,866,-0.000708,0.015282,-1.3642,0.17286581,BTC,5m,momentum,tr,8h,96,F,False,False
-1.5499,-2.238,-0.8513,-0.6341,610,0.8331,0.4667,0.9521,-0.001179,0.8263,0.0055,0.2215,4.5391,-0.572,630,-0.001179,0.018269,-1.6205,0.10562287,BTC,5m,momentum,tr,12h,144,F,False,False
-57.7385,-87.6867,-1.0,-1.0,12570,0.1983,0.1663,0.9944,-0.00104,0.4687,0.1094,4.3968,193.6242,-1.0,12582,-0.00104,0.001932,-60.3703,0.0,BTC,5m,range_breakout,tr,5m,1,F,False,False
-41.5779,-61.7843,-1.0,-1.0,9359,0.2669,0.2072,1.021,-0.001093,0.5512,0.0814,1.1969,20.6262,-1.0,9366,-0.001093,0.002433,-43.473,0.0,BTC,5m,range_breakout,tr,10m,2,F,False,False
-32.0154,-46.9781,-0.9998,-0.9999,8094,0.3228,0.2322,1.0676,-0.001096,0.6335,0.0705,0.8254,20.9042,-0.9999,8106,-0.001096,0.002947,-33.4747,0.0,BTC,5m,range_breakout,tr,15m,3,F,False,False
-21.0052,-31.3499,-0.9991,-0.9989,6307,0.4271,0.278,1.109,-0.001067,0.7237,0.055,1.0723,21.9023,-0.9989,6323,-0.001067,0.003864,-21.9626,0.0,BTC,5m,range_breakout,tr,30m,6,F,False,False
-16.516,-24.5917,-0.9979,-0.997,5368,0.4874,0.305,1.1106,-0.001062,0.8122,0.0468,0.701,10.4622,-0.9969,5380,-0.001062,0.00451,-17.2688,0.0,BTC,5m,range_breakout,tr,45m,9,F,False,False
-14.0268,-20.2999,-0.9971,-0.9951,4731,0.5212,0.3257,1.0787,-0.001104,0.842,0.0412,0.4423,10.5313,-0.995,4743,-0.001104,0.005185,-14.6662,0.0,BTC,5m,range_breakout,tr,1h,12,F,False,False
-9.8114,-14.648,-0.9913,-0.9832,3826,0.6009,0.3529,1.1019,-0.001028,0.8719,0.0333,0.8221,11.3491,-0.982,3834,-0.001028,0.006204,-10.2586,0.0,BTC,5m,range_breakout,tr,1.5h,18,F,False,False
-8.4759,-12.4236,-0.9886,-0.9735,3243,0.6236,0.3684,1.0691,-0.001079,0.9404,0.0283,0.5781,10.3233,-0.9723,3249,-0.001079,0.006941,-8.8623,0.0,BTC,5m,range_breakout,tr,2h,24,F,False,False
-6.5918,-9.1701,-0.9869,-0.9532,2427,0.6518,0.3849,1.0415,-0.001232,0.8946,0.0211,0.2266,9.884,-0.9544,2429,-0.001232,0.008808,-6.8923,0.0,BTC,5m,range_breakout,tr,3h,36,F,False,False
-3.9159,-5.7882,-0.9703,-0.8481,1910,0.7586,0.4085,1.0984,-0.000931,0.9397,0.0168,0.461,5.5047,-0.8493,1929,-0.000931,0.009986,-4.0944,4.407e-05,BTC,5m,range_breakout,tr,4h,48,F,False,False
-3.3555,-4.3765,-0.9559,-0.8259,1370,0.7516,0.4192,1.0412,-0.001163,0.8683,0.0119,-0.5145,7.5841,-0.8179,1374,-0.001163,0.012287,-3.5084,0.00046532,BTC,5m,range_breakout,tr,6h,72,F,False,False
-1.5578,-2.1501,-0.8224,-0.6506,1068,0.8618,0.4602,1.0107,-0.000688,0.9625,0.0093,0.1816,5.5768,-0.5671,1069,-0.000688,0.013806,-1.6289,0.10363823,BTC,5m,range_breakout,tr,8h,96,F,False,False
-3.0577,-3.908,-0.9437,-0.8211,691,0.7128,0.444,0.8927,-0.002044,0.789,0.0064,-0.6335,4.4346,-0.804,741,-0.002044,0.017406,-3.1971,0.00144739,BTC,5m,range_breakout,tr,12h,144,F,False,False
-81.251,-112.2496,-1.0,-1.0,14565,0.1452,0.15,0.8227,-0.000975,0.3544,0.1267,0.3002,14.813,-1.0,14571,-0.000975,0.001385,-84.9545,0.0,BTC,5m,macd_scalp,tr,5m,1,F,False,False
