sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
-12.6644,-16.0266,-0.9391,-0.5481,1141,0.2918,0.2727,0.7782,-0.000689,0.4676,0.0099,-0.2694,14.2708,-0.5463,1144,-0.000689,0.00176,-13.2416,0.0,BTC,5m,range_v1_lb24,range,10m,F,False,False
-9.7876,-11.5947,-0.9202,-0.5515,1072,0.367,0.3093,0.8196,-0.000704,0.5984,0.0095,-1.3506,12.297,-0.539,1096,-0.000704,0.002277,-10.2337,0.0,BTC,5m,range_v1_lb24,range,15m,F,False,False
-8.3683,-9.8457,-0.9355,-0.5744,1023,0.4184,0.3398,0.8128,-0.000818,0.586,0.0089,-1.2842,10.1113,-0.5694,1024,-0.000818,0.002992,-8.7497,0.0,BTC,5m,range_v1_lb24,range,30m,F,False,False
-6.4376,-7.5679,-0.9441,-0.6167,939,0.4695,0.3617,0.8285,-0.001004,0.6576,0.0082,-0.5497,27.4868,-0.6148,940,-0.001004,0.004573,-6.731,0.0,BTC,5m,range_v1_lb24,range,1h,F,False,False
-5.822,-6.4709,-0.9498,-0.6663,850,0.5076,0.3866,0.8054,-0.001268,0.638,0.0074,-1.9923,15.025,-0.6655,851,-0.001268,0.006075,-6.0873,0.0,BTC,5m,range_v1_lb24,range,2h,F,False,False
-2.8832,-3.5869,-0.8718,-0.5833,689,0.7095,0.439,0.9069,-0.001022,0.8424,0.0063,-0.6505,6.9378,-0.54,729,-0.001022,0.009157,-3.0147,0.00266211,BTC,5m,range_v1_lb24,range,4h,F,False,False
-2.4442,-3.2083,-0.8708,-0.6012,519,0.7259,0.4275,0.972,-0.001386,0.8704,0.0048,-0.323,3.4809,-0.5553,552,-0.001386,0.012738,-2.5556,0.01086676,BTC,5m,range_v1_lb24,range,8h,F,False,False
-1.4035,-2.0212,-0.7509,-0.5041,429,0.8243,0.4432,1.0355,-0.001023,0.904,0.004,0.0654,1.9795,-0.4055,458,-0.001023,0.014925,-1.4675,0.14293332,BTC,5m,range_v1_lb24,range,12h,F,False,False
-16.2512,-20.9067,-0.9496,-0.6948,1782,0.2978,0.2736,0.7905,-0.000658,0.5045,0.0155,-0.2063,11.9222,-0.6923,1787,-0.000658,0.001637,-16.9919,0.0,BTC,5m,range_v2_lb24,range,10m,F,False,False
-12.0829,-15.5513,-0.943,-0.6597,1644,0.3924,0.3182,0.8408,-0.000641,0.6059,0.0144,-0.4768,8.0131,-0.6549,1653,-0.000641,0.002064,-12.6336,0.0,BTC,5m,range_v2_lb24,range,15m,F,False,False
-8.1735,-10.0846,-0.9327,-0.6203,1449,0.5078,0.3752,0.8457,-0.000647,0.6041,0.0126,-0.7811,6.6821,-0.6112,1450,-0.000647,0.002883,-8.5461,0.0,BTC,5m,range_v2_lb24,range,30m,F,False,False
-6.7702,-7.884,-0.9313,-0.6585,1272,0.5364,0.3878,0.847,-0.000807,0.7022,0.0111,-1.4743,12.7373,-0.646,1274,-0.000807,0.004067,-7.0788,0.0,BTC,5m,range_v2_lb24,range,1h,F,False,False
-4.1015,-4.852,-0.8944,-0.6055,1116,0.6721,0.4235,0.9151,-0.000746,0.8106,0.0097,-1.5086,14.5268,-0.5737,1117,-0.000746,0.005814,-4.2885,1.954e-05,BTC,5m,range_v2_lb24,range,2h,F,False,False
-3.6905,-4.286,-0.9631,-0.6323,856,0.6741,0.4392,0.8608,-0.001098,0.7983,0.0079,-1.3094,8.3064,-0.6418,904,-0.001098,0.008557,-3.8587,0.00012208,BTC,5m,range_v2_lb24,range,4h,F,False,False
-0.9324,-1.2578,-0.5434,-0.5072,608,0.8927,0.4651,1.0266,-0.000471,0.973,0.0056,-0.164,3.9556,-0.2971,645,-0.000471,0.01227,-0.9749,0.32995131,BTC,5m,range_v2_lb24,range,8h,F,False,False
-1.0862,-1.6334,-0.5945,-0.602,477,0.8618,0.4542,1.0356,-0.000813,0.9684,0.0045,0.8448,6.1156,-0.3839,513,-0.000813,0.016219,-1.1357,0.25659453,BTC,5m,range_v2_lb24,range,12h,F,False,False
-23.0732,-26.5803,-0.9632,-0.7929,1375,0.137,0.2028,0.5385,-0.001144,0.2926,0.012,-1.5404,9.0792,-0.7935,1376,-0.001144,0.001759,-24.1249,0.0,BTC,5m,range_v3_lb24,range,10m,F,False,False
-21.5244,-25.0071,-0.966,-0.8163,1293,0.1517,0.2148,0.5546,-0.00131,0.3184,0.0113,-1.3495,6.8402,-0.8171,1294,-0.00131,0.002094,-22.5055,0.0,BTC,5m,range_v3_lb24,range,15m,F,False,False
-13.6988,-15.3129,-0.9608,-0.7894,1187,0.2569,0.2899,0.6294,-0.001292,0.4227,0.0104,-2.0144,13.569,-0.7885,1197,-0.001292,0.003121,-14.3232,0.0,BTC,5m,range_v3_lb24,range,30m,F,False,False
-9.4914,-11.3422,-0.961,-0.7933,1111,0.3698,0.3351,0.7337,-0.001388,0.4857,0.0098,-0.1179,20.6125,-0.7922,1122,-0.001388,0.004686,-9.924,0.0,BTC,5m,range_v3_lb24,range,1h,F,False,False
-6.0258,-7.6808,-0.9445,-0.755,988,0.53,0.3751,0.8829,-0.001335,0.6119,0.0087,0.0078,8.452,-0.7447,1005,-0.001335,0.006717,-6.3005,0.0,BTC,5m,range_v3_lb24,range,2h,F,False,False
-3.5798,-5.0021,-0.926,-0.7126,769,0.6614,0.4176,0.9226,-0.001344,0.7531,0.0073,0.8192,11.0317,-0.6924,843,-0.001344,0.010422,-3.743,0.0001942,BTC,5m,range_v3_lb24,range,4h,F,False,False
-2.0078,-2.8957,-0.7481,-0.6942,564,0.77,0.4279,1.0296,-0.001198,0.8576,0.0054,0.7254,7.0093,-0.5511,617,-0.001198,0.014169,-2.0993,0.03619447,BTC,5m,range_v3_lb24,range,8h,F,False,False
-1.3691,-2.075,-0.6564,-0.6684,402,0.8281,0.4358,1.0718,-0.001132,1.0687,0.0043,0.4707,3.6368,-0.4682,491,-0.001132,0.01753,-1.4315,0.15293764,BTC,5m,range_v3_lb24,range,12h,F,False,False
-28.0007,-35.6754,-0.9924,-0.9825,5988,0.3188,0.2914,0.7753,-0.000671,0.5136,0.0521,-0.3723,10.0516,-0.9823,5989,-0.000671,0.001775,-29.277,0.0,BTC,5m,range_tight_lb24,range,10m,F,False,False
-20.3569,-24.97,-0.9884,-0.9682,5350,0.411,0.3354,0.8145,-0.00064,0.6119,0.0465,-1.2345,14.0392,-0.9679,5352,-0.00064,0.002199,-21.2848,0.0,BTC,5m,range_tight_lb24,range,15m,F,False,False
-12.7817,-15.7728,-0.9793,-0.9352,4333,0.5382,0.3869,0.8527,-0.000619,0.7186,0.0377,-0.812,9.4662,-0.9332,4334,-0.000619,0.003051,-13.3643,0.0,BTC,5m,range_tight_lb24,range,30m,F,False,False
-9.159,-11.0978,-0.9764,-0.9256,3399,0.5968,0.4082,0.8652,-0.000742,0.6852,0.0296,-0.635,13.3035,-0.9227,3400,-0.000742,0.00452,-9.5765,0.0,BTC,5m,range_tight_lb24,range,1h,F,False,False
-5.2792,-6.4501,-0.9509,-0.8668,2486,0.7059,0.44,0.8986,-0.000738,0.7351,0.0217,-0.5528,9.9677,-0.8506,2498,-0.000738,0.006684,-5.5198,4e-08,BTC,5m,range_tight_lb24,range,2h,F,False,False
-2.47,-3.323,-0.8471,-0.7297,1501,0.8237,0.4587,0.9722,-0.0006,0.8448,0.0142,0.3007,10.4768,-0.6509,1633,-0.0006,0.009391,-2.5826,0.00989257,BTC,5m,range_tight_lb24,range,4h,F,False,False
-0.8312,-1.1568,-0.6736,-0.5056,951,0.9194,0.4579,1.0883,-0.00038,1.0191,0.0084,0.2291,5.7867,-0.3657,963,-0.00038,0.013585,-0.8691,0.38499764,BTC,5m,range_tight_lb24,range,8h,F,False,False
-0.6492,-0.8855,-0.7125,-0.4074,630,0.9282,0.4876,0.9753,-0.000416,0.939,0.006,0.0496,4.4565,-0.3126,687,-0.000416,0.016076,-0.6788,0.49748329,BTC,5m,range_tight_lb24,range,12h,F,False,False
