symbol,fold,feature,fwd_k,train_n,train_acc,train_rho,test_n,test_acc,test_rho,test_p,mean_bull,mean_bear
BTCUSDT,fwd1,buy_ratio,10,33,0.5152,0.0642,250,0.532,0.1429,0.023870753184449766,0.0007835273265050909,-0.000928349268123231
BTCUSDT,fwd1,delta_mom_z,10,33,0.4545,-0.1728,250,0.556,0.1017,0.10869605087246137,0.0006167204569992668,-0.000761542398617407
BTCUSDT,fwd1,cvd_slope_z,10,33,0.3939,-0.2296,250,0.636,0.2452,8.923172246709583e-05,0.003950649955437496,-0.004095471897055637
BTCUSDT,fwd1,large_ratio_ma10,10,33,0.4545,-0.0448,250,0.612,0.2012,0.0013865607490953847,0.0028656480708805134,-0.0030104700124986535
BTCUSDT,fwd1,large_net_z,10,33,0.3939,-0.3155,250,0.652,0.26,3.1432987032484554e-05,0.004663289174336763,-0.004808111115954904
BTCUSDT,fwd1,trade_accel,10,33,0.5758,0.0478,250,0.46,-0.07,0.27043062383746336,-0.0009117824311066469,0.0007669604894885067
BTCUSDT,fwd1,chart_1h_rsi,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_range_pctile,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_dist_sma20,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_dist_sma50,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_sma20_slope,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_macd_norm,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_bb_position,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_rsi,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_range_pctile,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_dist_sma20,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_dist_sma50,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_sma20_slope,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_macd_norm,10,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_bb_position,10,33,,,250,,,,,
BTCUSDT,fwd1,ob_imbalance,10,33,0.5152,-0.1581,250,0.556,0.0807,0.20362771988332645,0.0005073493909400791,-0.0006521713325582192
BTCUSDT,fwd1,ob_spread_z,10,33,0.697,0.3984,250,0.5,-0.0705,0.2669926266960528,-0.0002427080593300861,9.788611771194588e-05
BTCUSDT,fwd1,ob_imb_ma5,10,33,0.5152,0.3656,250,0.596,0.2268,0.00029997421860871045,0.0031333090233659007,-0.0032781309649840412
BTCUSDT,fwd1,ob_imb_ma20,10,33,0.697,0.3997,250,0.564,0.3093,6.079956533947039e-07,0.0035646891926484907,-0.0037095111342666308
BTCUSDT,fwd1,ob_imb_centered,10,33,0.5152,0.3656,250,0.596,0.2268,0.00029997421860871045,0.0031333090233659007,-0.0032781309649840412
BTCUSDT,fwd1,buy_ratio,25,33,0.5455,-0.1591,250,0.544,0.078,0.2193083312826901,0.0005396667270844917,-0.0024212513211868494
BTCUSDT,fwd1,delta_mom_z,25,33,0.4242,-0.1394,250,0.504,0.0095,0.8811257836936688,0.00035004393671538383,-0.0022316285308177416
BTCUSDT,fwd1,cvd_slope_z,25,33,0.3636,-0.2072,250,0.552,0.1157,0.06777608387625747,0.0023197327120332086,-0.004201317306135566
BTCUSDT,fwd1,large_ratio_ma10,25,33,0.4242,-0.0381,250,0.528,0.0926,0.14417242408238112,0.0012528341975724029,-0.0031344187916747604
BTCUSDT,fwd1,large_net_z,25,33,0.3636,-0.2617,250,0.56,0.1377,0.029549488528263366,0.0026115160981903403,-0.004493100692292698
BTCUSDT,fwd1,trade_accel,25,33,0.6061,-0.0087,250,0.504,0.0328,0.606213095213235,-0.0008602228920947965,-0.0010213617020075612
BTCUSDT,fwd1,chart_1h_rsi,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_range_pctile,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_dist_sma20,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_dist_sma50,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_sma20_slope,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_macd_norm,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_bb_position,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_rsi,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_range_pctile,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_dist_sma20,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_dist_sma50,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_sma20_slope,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_macd_norm,25,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_bb_position,25,33,,,250,,,,,
BTCUSDT,fwd1,ob_imbalance,25,33,0.4848,0.0635,250,0.504,0.0516,0.41660046112617805,-0.000425809637162069,-0.0014557749569402887
BTCUSDT,fwd1,ob_spread_z,25,33,0.7273,0.6578,250,0.584,0.092,0.1469142532315322,0.00141678078110544,-0.0032983653752077977
BTCUSDT,fwd1,ob_imb_ma5,25,33,0.5455,0.3366,250,0.576,0.245,9.070477727867231e-05,0.005036550934549886,-0.006918135528652244
BTCUSDT,fwd1,ob_imb_ma20,25,33,0.6667,0.4368,250,0.56,0.3512,1.1477651999346248e-08,0.005559124815217409,-0.007440709409319767
BTCUSDT,fwd1,ob_imb_centered,25,33,0.5455,0.3366,250,0.576,0.245,9.070477727867231e-05,0.005036550934549886,-0.006918135528652244
BTCUSDT,fwd1,buy_ratio,50,33,0.4242,-0.3449,250,0.532,0.0643,0.3111413403352266,0.0006161966429649581,-0.003588488942294812
BTCUSDT,fwd1,delta_mom_z,50,33,0.4242,-0.3874,250,0.516,-0.0096,0.8798960561393773,-0.001794682806962963,-0.0011776094923668908
BTCUSDT,fwd1,cvd_slope_z,50,33,0.4848,-0.2624,250,0.588,0.0904,0.15432683624380936,0.00261871550486104,-0.005591007804190894
BTCUSDT,fwd1,large_ratio_ma10,50,33,0.4242,-0.4418,250,0.548,-0.0023,0.9706466634924074,-0.0005952546224741707,-0.0023770376768556833
BTCUSDT,fwd1,large_net_z,50,33,0.5455,-0.1424,250,0.588,0.1211,0.055875196150799326,0.0034094972665964685,-0.006381789565926322
BTCUSDT,fwd1,trade_accel,50,33,0.4848,-0.2938,250,0.468,-0.0029,0.9633743507039153,-0.004044127846387524,0.0010718355470576704
BTCUSDT,fwd1,chart_1h_rsi,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_range_pctile,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_dist_sma20,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_dist_sma50,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_sma20_slope,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_macd_norm,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_1h_bb_position,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_rsi,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_range_pctile,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_dist_sma20,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_dist_sma50,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_sma20_slope,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_macd_norm,50,33,,,250,,,,,
BTCUSDT,fwd1,chart_4h_bb_position,50,33,,,250,,,,,
BTCUSDT,fwd1,ob_imbalance,50,33,0.4242,-0.1905,250,0.54,0.0955,0.13210667554235972,0.0017370028172437229,-0.004709295116573577
BTCUSDT,fwd1,ob_spread_z,50,33,0.5455,-0.2189,250,0.484,0.1127,0.07518346851005665,-0.001122505460959097,-0.0018497868383707567
BTCUSDT,fwd1,ob_imb_ma5,50,33,0.4848,-0.246,250,0.604,0.2288,0.0002646573896335684,0.006366529496123491,-0.009338821795453344
BTCUSDT,fwd1,ob_imb_ma20,50,33,0.4848,-0.3947,250,0.58,0.2976,1.6672139512698094e-06,0.007121617985153313,-0.010093910284483166
BTCUSDT,fwd1,ob_imb_centered,50,33,0.4848,-0.246,250,0.604,0.2288,0.0002646573896335684,0.006366529496123491,-0.009338821795453344
BTCUSDT,fwd2,buy_ratio,10,109,0.5229,0.1208,150,0.56,0.1378,0.09270382636311873,0.000980651051478696,-0.0032026812256011226
BTCUSDT,fwd2,delta_mom_z,10,109,0.578,0.1046,150,0.5067,-0.0341,0.6785124207970057,-0.0009608187989144001,-0.0012612113752080267
BTCUSDT,fwd2,cvd_slope_z,10,109,0.578,0.14,150,0.6133,0.2008,0.01374824738426849,0.001808529778109042,-0.0040305599522314686
BTCUSDT,fwd2,large_ratio_ma10,10,109,0.5596,0.1304,150,0.5733,0.1242,0.12983584184363117,0.000697986882724216,-0.002920017056846643
BTCUSDT,fwd2,large_net_z,10,109,0.578,0.1519,150,0.6133,0.1993,0.014464442930980701,0.002207255520218336,-0.004429285694340763
BTCUSDT,fwd2,trade_accel,10,109,0.3945,-0.2617,150,0.5333,-0.025,0.7618199463928985,-0.0008869903913259517,-0.001335039782796475
BTCUSDT,fwd2,chart_1h_rsi,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_1h_range_pctile,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_1h_dist_sma20,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_1h_dist_sma50,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_1h_sma20_slope,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_1h_macd_norm,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_1h_bb_position,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_4h_rsi,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_4h_range_pctile,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_4h_dist_sma20,10,109,,,150,,,,,
BTCUSDT,fwd2,chart_4h_dist_sma50,10,109,,,150,,,,,
