asset,scheme,lookback,fwd_k,n_buckets,is_n,is_rho,is_p,is_q80q20_ratio,oos_n,oos_rho,oos_p,oos_q80q20_ratio
btcusdt,dollar,25,10,40621,26197,-0.0532,6.563158135421388e-18,0.974,14390,-0.1912,1.7326092611822292e-118,0.822
btcusdt,dollar,25,25,40621,26197,-0.0808,3.467293148484784e-39,0.945,14375,-0.227,2.3630836381215562e-167,0.834
btcusdt,dollar,25,50,40621,26197,-0.1031,7.961827961094826e-63,0.936,14350,-0.2341,8.289088935505965e-178,0.856
btcusdt,dollar,50,10,40621,26172,-0.0743,2.231523725838716e-33,0.941,14390,-0.2236,1.656064189451675e-162,0.825
btcusdt,dollar,50,25,40621,26172,-0.1076,3.217766159408964e-68,0.921,14375,-0.278,2.7127172806100003e-253,0.821
btcusdt,dollar,50,50,40621,26172,-0.1334,3.7588006791205956e-104,0.917,14350,-0.3036,9.50135811298712e-304,0.824
btcusdt,dollar,100,10,40621,26122,-0.097,1.2172066168000423e-55,0.935,14390,-0.2852,1.9341756991281863e-267,0.761
btcusdt,dollar,100,25,40621,26122,-0.1366,5.643918565388518e-109,0.924,14375,-0.3571,0.0,0.756
btcusdt,dollar,100,50,40621,26122,-0.1651,4.4990191919582527e-159,0.928,14350,-0.3976,0.0,0.761
btcusdt,contract,25,10,35406,25517,0.016,0.010651926042597846,1.044,9855,-0.0007,0.9470806914615306,1.034
btcusdt,contract,25,25,35406,25517,-0.0039,0.5377746008771018,1.024,9840,-0.0191,0.05810350247644104,1.051
btcusdt,contract,25,50,35406,25517,-0.0176,0.0049505709685115475,1.006,9815,-0.0363,0.00032234547915173964,1.043
btcusdt,contract,50,10,35406,25492,-0.0,0.9940769522410905,1.013,9855,-0.004,0.6944726712755414,1.042
btcusdt,contract,50,25,35406,25492,-0.0207,0.0009402192869799566,1.0,9840,-0.0478,2.11111625963101e-06,1.03
btcusdt,contract,50,50,35406,25492,-0.0303,1.2954366389940519e-06,0.986,9815,-0.0638,2.5663469990178437e-10,1.04
btcusdt,contract,100,10,35406,25442,-0.0199,0.0014726859138957705,0.997,9855,-0.0077,0.4431530217238564,1.093
btcusdt,contract,100,25,35406,25442,-0.0503,9.836136443508118e-16,0.984,9840,-0.0404,6.086392612085304e-05,1.093
btcusdt,contract,100,50,35406,25442,-0.0749,5.8483243587518174e-33,0.972,9815,-0.0498,7.787812732045938e-07,1.093
ethusdt,dollar,25,10,58195,26705,-0.0608,2.515616127939933e-23,0.992,31456,-0.1779,4.2668191302249504e-222,0.844
ethusdt,dollar,25,25,58195,26705,-0.0515,3.775662270588364e-17,0.984,31441,-0.2055,5.634123328450614e-297,0.855
ethusdt,dollar,25,50,58195,26705,-0.0507,1.1286993939382455e-16,0.991,31416,-0.2201,0.0,0.857
ethusdt,dollar,50,10,58195,26680,-0.0487,1.7827922165084613e-15,0.986,31456,-0.2107,0.0,0.825
ethusdt,dollar,50,25,58195,26680,-0.053,4.76431174404782e-18,0.987,31441,-0.2492,0.0,0.828
ethusdt,dollar,50,50,58195,26680,-0.0631,6.10214212845809e-25,0.985,31416,-0.2741,0.0,0.819
ethusdt,dollar,100,10,58195,26630,-0.0613,1.4515432537815042e-23,0.978,31456,-0.2383,0.0,0.786
ethusdt,dollar,100,25,58195,26630,-0.0725,2.1399818957841478e-32,0.987,31441,-0.2869,0.0,0.786
ethusdt,dollar,100,50,58195,26630,-0.0797,8.673088052582465e-39,0.987,31416,-0.3234,0.0,0.778
ethusdt,contract,25,10,57852,27784,-0.0353,4.033868059559386e-09,1.011,30034,-0.045,5.853748572703606e-15,0.976
ethusdt,contract,25,25,57852,27784,-0.0321,9.053913157480029e-08,0.996,30019,-0.0474,2.0026213999446694e-16,0.997
ethusdt,contract,25,50,57852,27784,-0.0184,0.0021298262143663945,1.011,29994,-0.0517,3.279102498897617e-19,0.99
ethusdt,contract,50,10,57852,27759,-0.0104,0.08378288590576384,0.995,30034,-0.0427,1.3059483224317625e-13,0.989
ethusdt,contract,50,25,57852,27759,-0.0102,0.08994637825297681,1.005,30019,-0.0509,1.1234576393343238e-18,0.992
ethusdt,contract,50,50,57852,27759,-0.0123,0.03981710304871164,1.012,29994,-0.0714,3.287566262384254e-35,0.982
ethusdt,contract,100,10,57852,27709,-0.0178,0.002998633793645407,1.032,30034,-0.0578,1.1983151376751312e-23,0.961
ethusdt,contract,100,25,57852,27709,-0.0164,0.006313070886414872,1.036,30019,-0.0842,2.4004426628651867e-48,0.947
ethusdt,contract,100,50,57852,27709,-0.014,0.01988270481283795,1.04,29994,-0.1177,6.149475244841103e-93,0.935
