asset,fwd_k,n_buckets,n_oos,ecdf_n_high,ecdf_buy_n,ecdf_buy_mean,ecdf_buy_t,ecdf_sell_n,ecdf_sell_mean,ecdf_sell_t,ecdf_spread,static_n_high,static_spread,is_q80_value
btcusdt,25,40621,14375,3465,1445,0.0023125874431397697,6.7663302704368515,2020,-0.0004040200844470368,-1.1526200254102503,0.0027166075275868065,7068,0.002292847420240401,0.12244172543504807
btcusdt,50,40621,14350,3465,1445,0.0050135883977180315,10.825501841036901,2020,-0.0002695837839861243,-0.5662949338432994,0.005283172181704156,7068,0.004701261050517926,0.12244172543504807
btcusdt,100,40621,14300,3465,1445,0.009008440780532583,13.446921078782083,2020,0.0010765629646071312,1.612863702435157,0.00793187781592545,7068,0.006469323282572595,0.12244172543504807
ethusdt,25,58195,31441,8710,2631,0.0021372404032765743,6.774878539529122,6079,0.0008208158711903471,3.696256390793142,0.0013164245320862271,20876,0.0033641300061171596,0.1233313354131602
ethusdt,50,58195,31416,8710,2631,0.003940775129845116,8.491565356090446,6079,0.0009586537704536763,2.998621252800796,0.0029821213593914397,20876,0.006050937908657669,0.1233313354131602
ethusdt,100,58195,31366,8710,2631,0.009306843977109942,13.046131695203634,6079,0.0007900956400694861,1.7234158058701872,0.008516748337040456,20876,0.010090968866861007,0.1233313354131602
solusdt,25,49453,22216,5541,1247,0.00016848064041231916,0.30786020816558574,4294,0.0004948394106452587,1.4910011855346879,-0.0003263587702329396,12908,0.002529169407905118,0.10926029630322896
solusdt,50,49453,22191,5541,1247,0.0008925101589445146,1.2505291596915988,4294,-0.0008521610779203348,-1.7688387759234299,0.0017446712368648495,12908,0.004425109871046533,0.10926029630322896
solusdt,100,49453,22141,5541,1247,0.001301737419030379,1.4412585945169456,4294,-0.003550260066019603,-5.038352925867402,0.004851997485049982,12908,0.007791080082756557,0.10926029630322896
linkusdt,25,54830,22955,5510,1408,0.004251690657900847,8.036216418635584,4102,-0.000530458994345204,-1.4841885537373405,0.004782149652246052,6092,0.0035646359938457514,0.12675253585594018
linkusdt,50,54830,22930,5510,1408,0.006991174068433253,8.600457515727088,4102,-0.0011253234972115984,-2.2123367571432113,0.00811649756564485,6092,0.005754841213579807,0.12675253585594018
linkusdt,100,54830,22880,5510,1408,0.009705362205343702,8.690278826508623,4102,-0.003279088510498347,-4.495453766761137,0.01298445071584205,6092,0.010447165705786602,0.12675253585594018
suiusdt,25,50552,21091,4975,875,0.0031847170703024714,4.170516992388875,4100,-0.001403820438315359,-3.62021117379351,0.00458853750861783,7692,0.007400469386171046,0.12980899205236343
suiusdt,50,50552,21066,4975,875,0.008937563100528699,7.645917362241935,4100,-0.004341946560049159,-8.066150584620434,0.013279509660577858,7692,0.012716670602320668,0.12980899205236343
suiusdt,100,50552,21016,4975,875,0.018486668651482834,10.854745749344403,4100,-0.008951491442823457,-11.784740309411893,0.02743816009430629,7692,0.017373939966537553,0.12980899205236343
avaxusdt,25,50215,19375,6790,1564,0.004308971108709791,7.8408112002588135,5226,-0.0007674226636902576,-2.2723871083220106,0.005076393772400049,13759,0.005117686389792631,0.10746730948483117
avaxusdt,50,50215,19350,6765,1564,0.009351797528915635,13.085197862713798,5201,-0.0009964999342781532,-2.03911203815656,0.010348297463193788,13734,0.008037302733413366,0.10746730948483117
avaxusdt,100,50215,19300,6758,1564,0.01408989549588926,13.119434820477236,5194,-0.0013873942790686605,-1.9710013588525113,0.01547728977495792,13684,0.011012283054013083,0.10746730948483117
arbusdt,25,52301,15169,3952,412,-0.0046389770045964125,-2.947016236121964,3540,-0.00516983584818232,-9.104402818532932,0.0005308588435859072,3083,-0.004080857243786642,0.14026547246505194
arbusdt,50,52301,15144,3946,412,-0.008510087186966503,-3.5053146788374927,3534,-0.01057086711656985,-12.549071292530535,0.002060779929603348,3083,-0.005012050555498897,0.14026547246505194
arbusdt,100,52301,15094,3941,412,0.00644298538374844,1.4373589877021546,3529,-0.015211266370690361,-12.651864721426943,0.021654251754438802,3083,-0.01042885615320431,0.14026547246505194
opusdt,25,46602,13230,3455,123,-0.05222207549050629,-10.817432771443634,3332,-0.00919244982797451,-14.636732918362666,-0.04302962566253178,1804,,0.1287481040096636
opusdt,50,46602,13205,3430,123,-0.08002223687274218,-12.970316079853902,3307,-0.01606417592236302,-17.564403731967705,-0.06395806095037916,1804,,0.1287481040096636
opusdt,100,46602,13155,3391,123,-0.12103173400528645,-11.676916139344305,3268,-0.02495357704424218,-18.826029101011596,-0.09607815696104427,1804,,0.1287481040096636
injusdt,25,40785,10068,2073,148,-0.0056695046447235815,-2.0916691712039603,1925,-0.006257522612648061,-5.664814282361807,0.0005880179679244799,687,-0.013221653771137907,0.12692365782620968
injusdt,50,40785,10043,2048,148,-0.012567342068221148,-2.9485071471429336,1900,-0.007239577841646482,-4.440525898107086,-0.005327764226574666,687,-0.02718673963428336,0.12692365782620968
injusdt,100,40785,9993,2013,148,-0.039462172099415736,-4.752456360845368,1865,-0.0024194184871937255,-0.9255046935410757,-0.037042753612222014,687,-0.04753779389634034,0.12692365782620968
tiausdt,25,37614,8577,1389,5,,,1384,-0.0005885967548750168,-0.5576524174410129,,630,,0.11161470856625552
tiausdt,50,37614,8552,1389,5,,,1384,0.003257218109962268,2.2465750960864197,,630,,0.11161470856625552
tiausdt,100,37614,8502,1389,5,,,1384,-0.0008857304755678838,-0.4317685496142061,,630,,0.11161470856625552
fetusdt,25,38469,8879,2070,61,-0.003697827204800138,-0.8295137666674797,2009,-0.009453700168079072,-5.444975208368437,0.0057558729632789345,819,,0.12035517892383997
fetusdt,50,38469,8854,2070,61,-0.0216587204200114,-4.512264406501275,2009,-0.017631777670688922,-8.38561459297236,-0.004026942749322478,819,,0.12035517892383997
fetusdt,100,38469,8804,2070,61,0.0004465837775896572,0.09068444281719665,2009,-0.02544416457160386,-10.211869440416928,0.025890748349193516,819,,0.12035517892383997
taousdt,25,45695,19935,4766,781,-0.005191928373791627,-6.55716401525102,3985,-0.001999612006674627,-2.9153371478943635,-0.003192316367117,5341,-0.004238454232441205,0.14090717078669338
taousdt,50,45695,19910,4766,781,-0.0059995255473920305,-5.809847596826992,3985,-0.005458305297615779,-6.435058891294159,-0.0005412202497762511,5341,-0.0032839493915752926,0.14090717078669338
taousdt,100,45695,19860,4766,781,-0.02207649405748369,-7.660292773840444,3985,-0.009860515399982459,-9.627096481587373,-0.012215978657501231,5341,-0.01891635416153662,0.14090717078669338
rndrusdt,25,12387,4654,1263,163,-0.0029935480078483847,-1.1342117437978443,1100,-0.005449966113621542,-5.252598335990944,0.0024564181057731577,1955,0.0022526497548635426,0.10931850705456293
rndrusdt,50,12387,4629,1263,163,-0.0042080428159241385,-0.9729876060032858,1100,-0.008395737290209081,-6.2163517100578245,0.0041876944742849425,1955,0.0022188002472742397,0.10931850705456293
rndrusdt,100,12387,4579,1263,163,-0.021589326931531025,-3.939455641502069,1100,-0.01058508672615307,-5.807767414391917,-0.011004240205377954,1955,-0.008398272941338823,0.10931850705456293
