asset,slice,feature,target,n,rho,p
btcusdt,oos_all,delta_5,fret,14300,-0.00749508121387428,0.37013762988563625
btcusdt,oos_all,delta_25,fret,14300,-0.02371714595415277,0.0045638245031188645
btcusdt,oos_all,accel,fret,14300,-0.002481614458718924,0.7666707860165368
btcusdt,oos_all,ar1_resid,fret,14300,0.0010718945339123027,0.8980154101069862
btcusdt,oos_all,delta_5,signed_fret,14300,-0.012337115529926834,0.1401502845296856
btcusdt,oos_all,delta_25,signed_fret,14300,0.02233912424785574,0.007551970002336762
btcusdt,oos_all,accel,signed_fret,14300,-0.011271120429291438,0.17773721073490778
btcusdt,oos_all,ar1_resid,signed_fret,14300,-0.005247263782295807,0.5303767840244318
btcusdt,high_vpin,delta_5,fret,3465,-0.02550253314790108,0.13338402859804038
btcusdt,high_vpin,delta_25,fret,3465,-0.04610673099716782,0.006637540157659537
btcusdt,high_vpin,accel,fret,3465,-0.009621727568152688,0.5712683428744266
btcusdt,high_vpin,ar1_resid,fret,3465,-0.023525019712863617,0.16621318060909848
btcusdt,high_vpin,delta_5,signed_fret,3465,0.015010945347544097,0.3770531387901077
btcusdt,high_vpin,delta_25,signed_fret,3465,-0.009682026740312509,0.5688588271766288
btcusdt,high_vpin,accel,signed_fret,3465,0.001256911429701809,0.9410418288749991
btcusdt,high_vpin,ar1_resid,signed_fret,3465,0.013074484790021663,0.44167075815788637
btcusdt,buy_dom,delta_5,fret,1445,-0.02720323502625293,0.3014274364923863
btcusdt,buy_dom,delta_25,fret,1445,-0.09280917862416488,0.00041158293308719764
btcusdt,buy_dom,accel,fret,1445,-0.005504542385047557,0.8343970830138744
btcusdt,buy_dom,ar1_resid,fret,1445,-0.01858585803949515,0.4802150774905465
btcusdt,buy_dom,delta_5,signed_fret,1445,-0.02720323502625293,0.3014274364923863
btcusdt,buy_dom,delta_25,signed_fret,1445,-0.09280917862416488,0.00041158293308719764
btcusdt,buy_dom,accel,signed_fret,1445,-0.005504542385047557,0.8343970830138744
btcusdt,buy_dom,ar1_resid,signed_fret,1445,-0.01858585803949515,0.4802150774905465
btcusdt,sell_dom,delta_5,fret,2020,-0.03497077342458203,0.11612494391844101
btcusdt,sell_dom,delta_25,fret,2020,-0.02854855494511809,0.1996444693918571
btcusdt,sell_dom,accel,fret,2020,-0.011830813021903586,0.5951288907027005
btcusdt,sell_dom,ar1_resid,fret,2020,-0.03232683134591242,0.14639302617111782
btcusdt,sell_dom,delta_5,signed_fret,2020,0.03497077342458203,0.11612494391844101
btcusdt,sell_dom,delta_25,signed_fret,2020,0.02854855494511809,0.1996444693918571
btcusdt,sell_dom,accel,signed_fret,2020,0.011830813021903586,0.5951288907027005
btcusdt,sell_dom,ar1_resid,signed_fret,2020,0.03232683134591242,0.14639302617111782
btcusdt,delta5_conditional,rising_buy,fret,728,0.007804195476481302,8.801887783615193
btcusdt,delta5_conditional,rising_sell,fret,1004,0.0005184165708767131,0.5158270616446207
btcusdt,delta5_conditional,falling_buy,fret,717,0.01023116125661254,10.182827894351513
btcusdt,delta5_conditional,falling_sell,fret,1016,0.0016281170780966432,1.8493156982578702
ethusdt,oos_all,delta_5,fret,31366,0.0004299613224947757,0.9393037001626552
ethusdt,oos_all,delta_25,fret,31366,-0.01939229661028786,0.0005933221122310252
ethusdt,oos_all,accel,fret,31366,0.0007125280562676988,0.8995839774582751
ethusdt,oos_all,ar1_resid,fret,31366,-0.0009728422806376931,0.8632111892372795
ethusdt,oos_all,delta_5,signed_fret,31366,-0.005034457651732561,0.3726099624847371
ethusdt,oos_all,delta_25,signed_fret,31366,0.010524088392255415,0.062344088717324685
ethusdt,oos_all,accel,signed_fret,31366,-0.007534742480354056,0.18207198941022
ethusdt,oos_all,ar1_resid,signed_fret,31366,0.0005361515286600189,0.9243536956373749
ethusdt,high_vpin,delta_5,fret,8710,0.027807677912182742,0.009449543254683262
ethusdt,high_vpin,delta_25,fret,8710,-0.01274304266187613,0.23437970768551525
ethusdt,high_vpin,accel,fret,8710,0.009815369518477357,0.35970187093092487
ethusdt,high_vpin,ar1_resid,fret,8710,0.010024798412221026,0.34954232274177033
ethusdt,high_vpin,delta_5,signed_fret,8710,-0.022935026128430448,0.032319206028022095
ethusdt,high_vpin,delta_25,signed_fret,8710,0.003938070044270101,0.7132621721900221
ethusdt,high_vpin,accel,signed_fret,8710,-0.016728058396983866,0.11850699310296894
ethusdt,high_vpin,ar1_resid,signed_fret,8710,-0.008427447931662236,0.4316257319154534
ethusdt,buy_dom,delta_5,fret,2631,0.012325797845160847,0.5274168743483942
ethusdt,buy_dom,delta_25,fret,2631,-0.01514797438870624,0.4373567169032674
ethusdt,buy_dom,accel,fret,2631,-0.009700678846377188,0.6189388531965154
ethusdt,buy_dom,ar1_resid,fret,2631,0.004519439420962833,0.816764919651664
ethusdt,buy_dom,delta_5,signed_fret,2631,0.012325797845160847,0.5274168743483942
ethusdt,buy_dom,delta_25,signed_fret,2631,-0.01514797438870624,0.4373567169032674
ethusdt,buy_dom,accel,signed_fret,2631,-0.009700678846377188,0.6189388531965154
ethusdt,buy_dom,ar1_resid,signed_fret,2631,0.004519439420962833,0.816764919651664
ethusdt,sell_dom,delta_5,fret,6079,0.03629750809332373,0.004649090769561345
ethusdt,sell_dom,delta_25,fret,6079,-0.012022067877668444,0.348667519552623
ethusdt,sell_dom,accel,fret,6079,0.018811022327395586,0.14251624968647977
ethusdt,sell_dom,ar1_resid,fret,6079,0.01314012863890822,0.3056736140787538
ethusdt,sell_dom,delta_5,signed_fret,6079,-0.03629750809332373,0.004649090769561345
ethusdt,sell_dom,delta_25,signed_fret,6079,0.012022067877668444,0.348667519552623
ethusdt,sell_dom,accel,signed_fret,6079,-0.018811022327395586,0.14251624968647977
ethusdt,sell_dom,ar1_resid,signed_fret,6079,-0.01314012863890822,0.3056736140787538
ethusdt,delta5_conditional,rising_buy,fret,1323,0.009418756948431051,9.425806255955788
ethusdt,delta5_conditional,rising_sell,fret,3032,0.0020895967421123104,3.3995339638082136
ethusdt,delta5_conditional,falling_buy,fret,1308,0.009193647600154405,9.022579953142268
ethusdt,delta5_conditional,falling_sell,fret,3047,-0.0005030081805389286,-0.7404472834260221
solusdt,oos_all,delta_5,fret,22141,0.006063138159382733,0.36698072363067713
solusdt,oos_all,delta_25,fret,22141,-0.00648749660384459,0.3344018027293175
solusdt,oos_all,accel,fret,22141,0.0021969720128057067,0.7437525027703067
solusdt,oos_all,ar1_resid,fret,22141,0.007096498493788492,0.29101291661733203
solusdt,oos_all,delta_5,signed_fret,22141,0.005502532409561171,0.4129412419538525
solusdt,oos_all,delta_25,signed_fret,22141,0.04129606494609626,7.89280245653185e-10
solusdt,oos_all,accel,signed_fret,22141,-0.006861510467181711,0.30728429396606455
solusdt,oos_all,ar1_resid,signed_fret,22141,0.001981584761602128,0.768115707133797
solusdt,high_vpin,delta_5,fret,5541,0.03422573854544625,0.010838487191995571
solusdt,high_vpin,delta_25,fret,5541,0.04630649499372836,0.0005646916405711041
solusdt,high_vpin,accel,fret,5541,0.008225959798835506,0.5404085324778947
solusdt,high_vpin,ar1_resid,fret,5541,0.026815961974110004,0.045930408796324027
solusdt,high_vpin,delta_5,signed_fret,5541,-0.002993254833990174,0.8237208890661665
solusdt,high_vpin,delta_25,signed_fret,5541,-0.013889104994086335,0.30128002582953894
solusdt,high_vpin,accel,signed_fret,5541,-0.003026319462635432,0.8218061578413365
solusdt,high_vpin,ar1_resid,signed_fret,5541,-0.004794013954338326,0.7212581281473573
solusdt,buy_dom,delta_5,fret,1247,0.08063683622271425,0.004381489719279116
solusdt,buy_dom,delta_25,fret,1247,0.07666242543036739,0.006759967837044294
solusdt,buy_dom,accel,fret,1247,0.012927111002942438,0.6483505259809657
solusdt,buy_dom,ar1_resid,fret,1247,0.05538482504943586,0.05054323562409045
solusdt,buy_dom,delta_5,signed_fret,1247,0.08063683622271425,0.004381489719279116
solusdt,buy_dom,delta_25,signed_fret,1247,0.07666242543036739,0.006759967837044294
solusdt,buy_dom,accel,signed_fret,1247,0.012927111002942438,0.6483505259809657
solusdt,buy_dom,ar1_resid,signed_fret,1247,0.05538482504943586,0.05054323562409045
solusdt,sell_dom,delta_5,fret,4294,0.021684498076348882,0.15540150193947966
solusdt,sell_dom,delta_25,fret,4294,0.03402741555068023,0.025762977418938092
solusdt,sell_dom,accel,fret,4294,0.007347152357629102,0.6302925823485768
solusdt,sell_dom,ar1_resid,fret,4294,0.018832199760056012,0.21727811870148372
solusdt,sell_dom,delta_5,signed_fret,4294,-0.021684498076348882,0.15540150193947966
solusdt,sell_dom,delta_25,signed_fret,4294,-0.03402741555068023,0.025762977418938092
solusdt,sell_dom,accel,signed_fret,4294,-0.007347152357629102,0.6302925823485768
solusdt,sell_dom,ar1_resid,signed_fret,4294,-0.018832199760056012,0.21727811870148372
solusdt,delta5_conditional,rising_buy,fret,648,0.004016687279508009,3.270099579164779
solusdt,delta5_conditional,rising_sell,fret,2122,-0.0030954784808633565,-3.182202366425082
solusdt,delta5_conditional,falling_buy,fret,599,-0.0016353034984813153,-1.2379977716325539
solusdt,delta5_conditional,falling_sell,fret,2172,-0.00399457246183063,-3.921252285264907
linkusdt,oos_all,delta_5,fret,22880,-0.011636867513284108,0.07837867035776531
linkusdt,oos_all,delta_25,fret,22880,-0.01396516437394761,0.034654092712246704
linkusdt,oos_all,accel,fret,22880,-0.004145483645304887,0.5306461627643426
linkusdt,oos_all,ar1_resid,fret,22880,-0.0054240299769186965,0.41198391080213526
linkusdt,oos_all,delta_5,signed_fret,22880,0.008010187562784465,0.22567122991849003
linkusdt,oos_all,delta_25,signed_fret,22880,-0.006617100176095504,0.3168906941368388
linkusdt,oos_all,accel,signed_fret,22880,0.0013063118940741941,0.8433707053796324
linkusdt,oos_all,ar1_resid,signed_fret,22880,0.004715167049231188,0.47572968245848535
linkusdt,high_vpin,delta_5,fret,5510,0.019769398675940533,0.14229975795309532
linkusdt,high_vpin,delta_25,fret,5510,0.06811660611260537,4.170971310723634e-07
linkusdt,high_vpin,accel,fret,5510,-0.01287417141608603,0.33934286901982336
linkusdt,high_vpin,ar1_resid,fret,5510,0.007669847231366918,0.569215561846985
linkusdt,high_vpin,delta_5,signed_fret,5510,0.008897226212325797,0.5090621257613324
linkusdt,high_vpin,delta_25,signed_fret,5510,0.019421831500127495,0.14944933301517271
linkusdt,high_vpin,accel,signed_fret,5510,0.004766688903781784,0.7235261982336686
linkusdt,high_vpin,ar1_resid,signed_fret,5510,-0.0058265576169807655,0.6654454365083436
linkusdt,buy_dom,delta_5,fret,1408,0.07503925307736947,0.004844522606494767
linkusdt,buy_dom,delta_25,fret,1408,0.20255929121880126,1.6719784877428974e-14
linkusdt,buy_dom,accel,fret,1408,-0.011965042619638969,0.6537306936710217
linkusdt,buy_dom,ar1_resid,fret,1408,0.014049147349868084,0.5983821229343915
linkusdt,buy_dom,delta_5,signed_fret,1408,0.07503925307736947,0.004844522606494767
linkusdt,buy_dom,delta_25,signed_fret,1408,0.20255929121880126,1.6719784877428974e-14
linkusdt,buy_dom,accel,signed_fret,1408,-0.011965042619638969,0.6537306936710217
linkusdt,buy_dom,ar1_resid,signed_fret,1408,0.014049147349868084,0.5983821229343915
linkusdt,sell_dom,delta_5,fret,4102,0.011381009968674423,0.466173340196144
linkusdt,sell_dom,delta_25,fret,4102,0.04145771087967261,0.007917484494794192
linkusdt,sell_dom,accel,fret,4102,-0.010802932270845129,0.489123749791329
linkusdt,sell_dom,ar1_resid,fret,4102,0.011212677234549414,0.47279400930102167
linkusdt,sell_dom,delta_5,signed_fret,4102,-0.011381009968674423,0.466173340196144
linkusdt,sell_dom,delta_25,signed_fret,4102,-0.04145771087967261,0.007917484494794192
linkusdt,sell_dom,accel,signed_fret,4102,0.010802932270845129,0.489123749791329
linkusdt,sell_dom,ar1_resid,signed_fret,4102,-0.011212677234549414,0.47279400930102167
linkusdt,delta5_conditional,rising_buy,fret,720,0.013535894824464965,7.9868637228861985
linkusdt,delta5_conditional,rising_sell,fret,2035,-0.003963939130812153,-3.9175183942745013
linkusdt,delta5_conditional,falling_buy,fret,688,0.005696665278356334,3.9923066829643146
linkusdt,delta5_conditional,falling_sell,fret,2067,-0.002604840318752532,-2.4801301672208975
suiusdt,oos_all,delta_5,fret,21016,0.02240652781566155,0.0011602921160862353
suiusdt,oos_all,delta_25,fret,21016,0.02216190749321367,0.001313598542083626
suiusdt,oos_all,accel,fret,21016,0.008934181208599368,0.19527615129294656
suiusdt,oos_all,ar1_resid,fret,21016,0.013853585723855972,0.044609631970570496
suiusdt,oos_all,delta_5,signed_fret,21016,-0.0013910746928769875,0.8401897617197807
suiusdt,oos_all,delta_25,signed_fret,21016,0.0035102611723692514,0.6108572160589197
