asset,entry_time_utc,exit_time_utc,side,entry_px,exit_px,holding_days,ecdf,signed_vpin,d25,vpin
arbusdt,2024-01-02T07:02:00,2024-01-02T12:54:00,-1,1.7148,1.7701,0.24444444444444444,0.841726618705036,-0.03438863783431107,-0.0016959085392770357,0.14420753026886377
arbusdt,2024-01-02T14:01:00,2024-01-02T21:43:00,-1,1.7806,1.7473,0.32083333333333336,0.8714859437751004,-0.021919132411131283,-0.0014560529266478828,0.14999438972541373
arbusdt,2024-01-03T04:34:00,2024-01-03T09:22:00,-1,1.88,1.9643,0.2,0.878099173553719,-0.02389970018943693,-0.0037342692057914517,0.15365815753351028
arbusdt,2024-01-03T10:39:00,2024-01-03T12:45:00,-1,1.9609,1.8688,0.0875,0.9634340222575517,-0.007272856478847145,-0.000588032466702082,0.17329438547330994
avaxusdt,2024-01-03T18:17:00,2024-01-04T20:37:00,-1,36.601,39.246,1.0972222222222223,0.8796296296296297,-0.08336167100878945,-0.00018790158845595484,0.10569957209566926
arbusdt,2024-01-04T02:34:00,2024-01-04T10:00:00,-1,1.879,1.8774,0.30972222222222223,0.8609388839681134,-0.039092348352393134,-0.0018137977239121583,0.16890535524736916
arbusdt,2024-01-04T14:24:00,2024-01-04T17:30:00,-1,1.8995,2.0663,0.12916666666666668,0.9315910837817064,-0.003691124608539735,-9.916939567652938e-05,0.17350127057238007
arbusdt,2024-01-06T06:49:00,2024-01-06T18:18:00,-1,1.7139,1.762,0.47847222222222224,0.8516992790937178,-0.05653852106935259,-0.0010356421454379983,0.16477813620985413
arbusdt,2024-01-10T12:06:00,2024-01-10T15:38:00,-1,1.9945,2.0222,0.14722222222222223,0.8214285714285714,-0.0031413567439462415,-0.0006420641800497506,0.15440674754866218
arbusdt,2024-01-11T11:25:00,2024-01-11T15:31:00,-1,2.3334,2.2524,0.17083333333333334,0.9724249797242498,-0.026701526636674355,-0.0003647495738829387,0.1736534053948019
avaxusdt,2024-01-11T15:49:00,2024-01-12T16:53:00,-1,39.381,36.622,1.0444444444444445,0.815311004784689,-0.013243698910254382,-0.0022244863548449567,0.09539271901267156
arbusdt,2024-01-11T16:14:00,2024-01-12T00:01:00,-1,2.1524,2.2699,0.32430555555555557,0.862483660130719,-0.047757515764973224,-0.00026459428592928713,0.159761796641344
suiusdt,2024-01-12T13:32:00,2024-01-13T04:50:00,1,1.1544,1.2199,0.6375,0.8,0.014179599955702038,0.007693972665279242,0.0721814492417856
arbusdt,2024-01-12T14:43:00,2024-01-12T17:22:00,-1,2.3564,2.1846,0.11041666666666666,0.8981259010091303,-0.016886474435395083,-0.0005723653521047256,0.16419860387762142
suiusdt,2024-01-13T05:01:00,2024-01-13T16:48:00,-1,1.2309,1.2838,0.4909722222222222,0.8416289592760181,-0.0060193012797723315,-0.002910256745250042,0.0765794628347462
suiusdt,2024-01-13T17:00:00,2024-01-15T00:23:00,1,1.2892,1.2681,1.3076388888888888,0.9686924493554327,0.008934738713635927,0.0026166339463607885,0.08385582247495296
linkusdt,2024-01-14T18:20:00,2024-01-15T15:22:00,-1,15.187,15.418,0.8763888888888889,0.8005148005148005,-0.008534273606741553,-0.00046401353917772947,0.08144483526340768
linkusdt,2024-01-15T17:24:00,2024-01-17T06:10:00,1,15.508,15.858,1.5319444444444446,0.8757062146892656,0.0005695086324721632,0.0029945355761464426,0.09482987383546218
arbusdt,2024-01-17T16:35:00,2024-01-18T10:08:00,-1,2.0256,1.9633,0.73125,0.8845931909982689,-0.07471740221799142,-0.0006160118448140517,0.16109142481801764
suiusdt,2024-01-17T19:36:00,2024-01-19T14:31:00,-1,1.3104,1.1461,1.7881944444444444,0.9695906432748538,-0.03488829435585216,-2.5378913589058083e-05,0.0891835689110608
linkusdt,2024-01-17T23:59:00,2024-01-19T04:31:00,1,15.761,14.842,1.1888888888888889,0.8142329020332717,0.007756329845866088,0.008484712776658673,0.09219998625150877
linkusdt,2024-01-19T04:46:00,2024-01-19T22:50:00,-1,14.795,15.791,0.7527777777777778,0.8081149619611158,-0.02657969546830695,-0.010991560788778582,0.09507450298053305
linkusdt,2024-01-19T22:59:00,2024-01-20T15:07:00,1,15.848,15.87,0.6722222222222223,0.8520249221183801,0.002621946016457574,0.006606471389281901,0.09697570749648826
suiusdt,2024-01-20T02:50:00,2024-01-22T20:35:00,-1,1.1337,1.1188,2.7395833333333335,0.9918450560652395,-0.03174954670486292,-0.0001457053157591509,0.10385286816273229
linkusdt,2024-01-20T17:41:00,2024-01-22T07:29:00,-1,15.862,15.66,1.575,0.9928263988522238,-0.02332670080366725,-0.00016796278799016684,0.11572283486319103
arbusdt,2024-01-21T21:21:00,2024-01-22T12:38:00,-1,1.8356,1.7224,0.6368055555555555,0.8987645847632121,-0.05697542703534117,-0.0014813782344381132,0.16155538576734457
suiusdt,2024-01-24T07:32:00,2024-01-25T15:59:00,-1,1.2087,1.1908,1.3520833333333333,0.8650858544562551,-0.00982316494349911,-0.0004258154480200893,0.08905586932560387
suiusdt,2024-01-26T00:39:00,2024-01-27T03:41:00,-1,1.1757,1.4259,1.1263888888888889,0.8385650224215246,-0.013058911383764873,-0.0003001966442416626,0.09109628127594245
suiusdt,2024-01-27T08:53:00,2024-01-29T01:04:00,1,1.4019,1.3555,1.6743055555555555,0.8251028806584362,0.000827777887198532,0.010971610061596693,0.08983736570197234
avaxusdt,2024-01-28T06:13:00,2024-01-29T00:30:00,-1,35.976,34.884,0.7618055555555555,0.871953921134249,-0.010532884862033975,-0.0021720222823674307,0.09465463671276692
linkusdt,2024-01-28T07:48:00,2024-01-30T04:17:00,-1,14.526,14.99,1.8534722222222222,0.8871405317417255,-0.014855913874654979,-0.002885969426995913,0.10304675116816514
suiusdt,2024-01-29T01:31:00,2024-01-30T01:35:00,-1,1.3654,1.5842,1.0027777777777778,0.8396407953816549,-0.0029452180995946553,-0.0044402401934056646,0.0927816154871861
avaxusdt,2024-01-29T06:07:00,2024-01-30T08:30:00,-1,35.04,36.52,1.0993055555555555,0.8066414459857083,-0.017774678647790795,-0.0006062347557836967,0.09146743714742207
linkusdt,2024-01-30T08:33:00,2024-01-31T09:41:00,-1,15.058,15.699,1.0472222222222223,0.9209851205746536,-0.008938646469751342,-0.0020336354522396544,0.10669115917800923
avaxusdt,2024-01-30T11:38:00,2024-01-31T18:00:00,1,36.969,35.454,1.2652777777777777,0.8632170076213398,0.00030111820498690794,0.014416368729177537,0.09506354953962559
suiusdt,2024-01-31T00:09:00,2024-01-31T21:31:00,1,1.5109,1.5526,0.8902777777777777,0.808461978273299,0.01006244555870065,0.009014780761095437,0.09177726345290242
linkusdt,2024-01-31T09:58:00,2024-02-01T07:44:00,1,15.613,15.719,0.9069444444444444,0.9253658536585366,0.024235984541815705,0.009353232563918748,0.10699368539207682
linkusdt,2024-02-01T14:41:00,2024-02-01T21:49:00,1,16.193,17.282,0.2972222222222222,0.8101323596531265,0.009673406099046064,0.004127279968142647,0.10276986356635687
linkusdt,2024-02-01T22:32:00,2024-02-02T06:38:00,-1,17.122,18.063,0.3375,0.8404347826086956,-0.0007286388638570569,-0.012630256934640469,0.10582944703372239
avaxusdt,2024-02-02T02:59:00,2024-02-03T02:52:00,-1,34.424,36.201,0.9951388888888889,0.8302940081875698,-0.027089283702181475,-0.0006427060456223044,0.09484273119628979
linkusdt,2024-02-02T06:42:00,2024-02-02T15:14:00,1,18.042,18.331,0.35555555555555557,0.9983340274885465,0.013592121739287666,0.007442366815053447,0.1336115667791945
linkusdt,2024-02-02T15:15:00,2024-02-03T00:08:00,1,18.423,17.796,0.3701388888888889,0.960431654676259,0.004913077812959791,0.002992904952191025,0.12131145373165982
linkusdt,2024-02-03T00:31:00,2024-02-03T19:55:00,1,17.88,17.768,0.8083333333333333,0.9930875576036866,0.00014513416789787987,0.0026945039774257107,0.14327296614887297
avaxusdt,2024-02-03T03:16:00,2024-02-05T06:03:00,1,36.309,34.938,2.115972222222222,0.9856527977044476,0.0005001024092711818,0.007294294822997496,0.10473110254395955
suiusdt,2024-02-04T09:34:00,2024-02-05T20:03:00,-1,1.5159,1.5882,1.4368055555555554,0.854483096521313,-0.006315479710032137,-0.0002958491884956088,0.09391037657404841
linkusdt,2024-02-04T17:55:00,2024-02-05T07:26:00,1,18.497,18.682,0.5631944444444444,0.9060042887776983,0.0012772527483250733,0.01778022490711488,0.12039192946006678
avaxusdt,2024-02-05T07:08:00,2024-02-07T13:53:00,-1,35.195,34.327,2.28125,0.9581459702525078,-0.028535811503774777,-0.0006458638010718859,0.1061571152420963
linkusdt,2024-02-05T07:30:00,2024-02-05T15:20:00,-1,18.713,19.306,0.3263888888888889,0.9354949982752674,-0.014079434087489238,-0.003914931953582501,0.1316461969056589
