asset,entry_time_utc,exit_time_utc,side,entry_px,exit_px,holding_days,ecdf,signed_vpin,d25,vpin
arbusdt,2024-01-02T13:47:00,2024-01-02T21:04:00,-1,1.7779,1.7215,0.3034722222222222,0.8622047244094488,-0.023678644762414203,-0.001992826111772872,0.15523991522839972
arbusdt,2024-01-03T07:19:00,2024-01-03T11:06:00,-1,1.9354,1.9328,0.15763888888888888,0.8729874776386404,-0.0003781362131836774,-0.0006813020690736582,0.15564693307008642
arbusdt,2024-01-03T11:35:00,2024-01-03T13:26:00,-1,1.9176,1.8457,0.07708333333333334,0.9734904270986745,-0.02496852818352764,-0.0010390713905450433,0.16855173392150033
avaxusdt,2024-01-03T18:55:00,2024-01-04T20:42:00,-1,36.015,39.384,1.0743055555555556,0.9004524886877828,-0.08077183300273524,-0.00045843071745145514,0.10740844799947336
arbusdt,2024-01-04T04:28:00,2024-01-04T11:01:00,-1,1.9443,1.8329,0.27291666666666664,0.951530612244898,-0.027384393960717172,-0.00041459860114897995,0.17244618964438885
linkusdt,2024-01-04T13:04:00,2024-01-05T21:57:00,-1,14.357,13.989,1.3701388888888888,0.8125,-0.07140915861143676,-9.697408344187808e-05,0.10344508450833988
arbusdt,2024-01-04T14:49:00,2024-01-04T17:46:00,-1,1.9466,2.0252,0.12291666666666666,0.8917102315160568,-0.0011866832238072447,-0.0023112968204793416,0.16843942908842685
arbusdt,2024-01-06T10:11:00,2024-01-06T23:15:00,-1,1.7548,1.7191,0.5444444444444444,0.9117063492063492,-0.002617697539873229,-0.003219290643664302,0.16766135422323306
arbusdt,2024-01-10T12:01:00,2024-01-10T15:27:00,-1,1.9966,1.9943,0.14305555555555555,0.8780869021569241,-0.009430794540408254,-0.0012177423131693732,0.15913564798271992
arbusdt,2024-01-11T12:01:00,2024-01-11T15:45:00,-1,2.3413,2.1944,0.15555555555555556,0.9926062846580407,-0.008988169038020723,-0.001941382314895379,0.1792698671729217
avaxusdt,2024-01-11T15:49:00,2024-01-12T16:51:00,-1,39.381,37.243,1.0430555555555556,0.8611898016997167,-0.013947888553015209,-0.0022470487105589187,0.09802778253944926
arbusdt,2024-01-11T16:18:00,2024-01-12T00:09:00,-1,2.1629,2.2565,0.32708333333333334,0.9460358056265985,-0.05094684961832849,-0.0008656920067754148,0.1697056891000403
suiusdt,2024-01-12T11:41:00,2024-01-13T03:44:00,1,1.1986,1.1771,0.66875,0.8250825082508251,0.011808346787644896,0.005896544088190472,0.06847852937171056
arbusdt,2024-01-12T14:39:00,2024-01-12T17:19:00,-1,2.3428,2.1945,0.1111111111111111,0.9124087591240876,-0.0008454312679860188,-0.0041380458756511695,0.1660126350195657
suiusdt,2024-01-13T05:37:00,2024-01-13T19:44:00,-1,1.2532,1.3108,0.5881944444444445,0.9544364508393285,-0.0030984799256486895,-0.0009402569826670731,0.0739880411310739
suiusdt,2024-01-14T02:38:00,2024-01-15T07:30:00,-1,1.249,1.42,1.2027777777777777,0.8491620111731844,-0.0019681204471380625,-0.0031282482067868517,0.08150965554683409
fetusdt,2024-01-14T12:19:00,2024-01-19T19:26:00,-1,0.6703,0.6147,5.2965277777777775,0.8144329896907216,-0.038949209102383794,-1.0725513037684875e-05,0.08780057394074534
linkusdt,2024-01-15T01:37:00,2024-01-16T01:50:00,1,15.177,15.18,1.0090277777777779,0.8581997533908755,0.0006583538666980152,0.006981203789726206,0.08724559457619047
linkusdt,2024-01-16T09:23:00,2024-01-17T12:28:00,-1,15.228,15.799,1.1284722222222223,0.9274891774891775,-0.020156631651378532,-0.0010414158347882563,0.10175554930664057
arbusdt,2024-01-17T18:21:00,2024-01-18T11:57:00,-1,2.0174,1.9559,0.7333333333333333,0.8030018761726079,-0.07245982200977955,-0.00024075983172333615,0.1543826404790792
suiusdt,2024-01-17T21:57:00,2024-01-19T17:36:00,-1,1.317,1.1264,1.81875,0.9763681592039801,-0.035266845564895566,-0.000264413867804944,0.08828506345588412
linkusdt,2024-01-18T02:04:00,2024-01-19T05:59:00,1,15.444,14.883,1.1631944444444444,0.8574040219378428,0.00011346126582210875,0.013565193793866212,0.09754007699832147
linkusdt,2024-01-19T23:16:00,2024-01-20T15:59:00,1,16.121,15.739,0.6965277777777777,0.8171296296296297,0.006119002812102914,0.009936960094004715,0.0965336351219234
suiusdt,2024-01-20T01:54:00,2024-01-22T23:15:00,-1,1.1486,1.0764,2.8895833333333334,0.955288985823337,-0.025840175845355407,-0.00028664435940169153,0.10306291415078911
linkusdt,2024-01-20T20:37:00,2024-01-22T08:37:00,-1,15.849,15.549,1.5,0.9822569198012775,-0.01857820311128003,-0.0002180834677352611,0.11150897287969597
arbusdt,2024-01-21T22:12:00,2024-01-22T12:46:00,-1,1.84,1.722,0.6069444444444444,0.9644295302013423,-0.0563696838309566,-0.0007547301915688531,0.17091057626304842
suiusdt,2024-01-24T17:26:00,2024-01-26T16:17:00,-1,1.3021,1.3156,1.9520833333333334,0.8306655433866892,-0.009963916348172397,-0.000862765617390987,0.08674643756268853
suiusdt,2024-01-27T08:50:00,2024-01-29T02:46:00,1,1.4013,1.4046,1.7472222222222222,0.84491587417703,0.0007608346711003769,0.0087295762181267,0.08694168152520476
linkusdt,2024-01-27T23:44:00,2024-01-29T19:35:00,-1,14.335,15.01,1.8270833333333334,0.8093427485062467,-0.026524878516274705,-0.00010916449037816356,0.0988571805819626
avaxusdt,2024-01-28T07:59:00,2024-01-29T03:00:00,-1,35.673,35.249,0.7923611111111111,0.8022598870056498,-0.014404562745325129,-0.004868244945273617,0.09035537708081227
suiusdt,2024-01-29T03:19:00,2024-01-30T02:59:00,-1,1.4073,1.6182,0.9861111111111112,0.8583106267029973,-0.0013899447710334417,-0.0020221467817257283,0.0890343954421657
avaxusdt,2024-01-29T08:09:00,2024-01-30T10:34:00,-1,34.811,36.788,1.1006944444444444,0.9586947542337877,-0.01925263272510193,-0.0006934496180881905,0.10225000601605513
linkusdt,2024-01-30T08:51:00,2024-01-31T09:36:00,-1,15.043,15.654,1.03125,0.9159021406727829,-0.011130926874752835,-0.00442090261378579,0.10459644169071312
