symbol,bucket,lookback,fwd_k,is_n,is_rho,is_p,is_vol_ratio,oos_n,oos_rho,oos_p,oos_vol_ratio,oos_dir_acc
BTCUSDT,100,25,10,14584,-0.1178,3.0779564592405953e-46,0.915,6508,-0.147,9.420610678957433e-33,0.878,0.5315
BTCUSDT,100,25,25,14584,-0.1296,1.098926160753267e-55,0.928,6493,-0.1424,9.267312935489108e-31,0.917,0.5204
BTCUSDT,100,25,50,14584,-0.0947,2.1660303970491913e-30,0.969,6468,-0.1023,1.630675478476149e-16,0.958,0.5155
BTCUSDT,100,50,10,14559,-0.1046,1.100615555193031e-36,0.919,6508,-0.1465,1.4761607316253838e-32,0.846,0.5246
BTCUSDT,100,50,25,14559,-0.1165,3.5418923297063986e-45,0.94,6493,-0.1363,2.690223555617466e-28,0.879,0.5204
BTCUSDT,100,50,50,14559,-0.0981,1.7513653599735254e-32,0.967,6468,-0.1086,2.0369045167463303e-18,0.909,0.5193
BTCUSDT,100,100,10,14509,-0.0957,7.5181651036646935e-31,0.918,6508,-0.1393,1.425949694592338e-29,0.863,0.5023
BTCUSDT,100,100,25,14509,-0.1134,9.239231053595364e-43,0.933,6493,-0.1403,6.704147382990414e-30,0.887,0.5173
BTCUSDT,100,100,50,14509,-0.0882,1.791572204600093e-26,0.964,6468,-0.127,1.1404025177136615e-24,0.913,0.5046
BTCUSDT,500,25,10,4120,0.0687,1.0029520317366414e-05,1.054,1788,0.0251,0.2886741414629331,0.995,0.5335
BTCUSDT,500,25,25,4120,0.1204,8.722842792508406e-15,1.079,1773,0.0659,0.005487793862306118,1.024,0.4789
BTCUSDT,500,25,50,4120,0.0669,1.732130589541295e-05,1.035,1748,-0.0511,0.03259812215981076,1.013,0.5314
BTCUSDT,500,50,10,4095,0.1104,1.4298125015855836e-12,1.133,1788,0.0123,0.6025440337122044,0.989,0.5279
BTCUSDT,500,50,25,4095,0.1078,4.629951130086142e-12,1.089,1773,-0.002,0.9338572112539395,1.007,0.4873
BTCUSDT,500,50,50,4095,0.0157,0.31580608240032143,1.018,1748,-0.1145,1.5983534667471061e-06,1.0,0.5657
BTCUSDT,500,100,10,4045,0.0143,0.3620718371787233,1.021,1788,-0.052,0.027855579401082357,0.948,0.5112
BTCUSDT,500,100,25,4045,-0.0071,0.6518197232126817,1.004,1773,-0.0583,0.01404365790153503,0.924,0.4845
BTCUSDT,500,100,50,4045,-0.1319,3.707888778359337e-17,0.95,1748,-0.0983,3.87178128138101e-05,0.934,0.5543
BTCUSDT,2000,25,10,1070,-0.0395,0.19695616027391186,0.974,462,-0.0453,0.33091135689775464,0.991,0.5484
BTCUSDT,2000,25,25,1070,-0.1675,3.5534116591547114e-08,0.929,447,0.005,0.916171705563475,0.933,0.4667
BTCUSDT,2000,25,50,1070,-0.0557,0.06862847078935888,0.99,422,-0.0307,0.5296838566872115,0.876,0.5294
BTCUSDT,2000,50,10,1045,-0.0385,0.21369762014577762,0.96,462,0.0252,0.5893908898577266,1.047,0.5591
BTCUSDT,2000,50,25,1045,-0.0446,0.149681058855427,0.977,447,-0.0563,0.23502218377888792,0.947,0.5111
BTCUSDT,2000,50,50,1045,-0.0018,0.9544091067138233,0.986,422,-0.2151,8.296761856567494e-06,0.876,0.5882
BTCUSDT,2000,100,10,995,0.0043,0.8931824064439272,1.008,462,-0.1663,0.00033000543556739516,0.824,0.6129
BTCUSDT,2000,100,25,995,0.0096,0.7634431566472789,1.006,447,-0.055,0.24545172466829746,0.842,0.4667
BTCUSDT,2000,100,50,995,0.1243,8.47612761920315e-05,1.067,422,0.0258,0.5967171972834034,0.916,0.4941
SOLUSDT,10000,25,10,18453,-0.1578,3.412430717937381e-103,0.813,7525,-0.2093,2.884977299059275e-75,0.789,0.509
SOLUSDT,10000,25,25,18453,-0.1686,1.1182287731850716e-117,0.839,7510,-0.2414,4.640682911313152e-100,0.811,0.506
SOLUSDT,10000,25,50,18453,-0.1689,4.141289172697545e-118,0.861,7485,-0.2842,4.648368450923346e-139,0.818,0.487
SOLUSDT,10000,50,10,18428,-0.1819,8.832056326404716e-137,0.795,7525,-0.2666,1.3186184031961773e-122,0.722,0.495
SOLUSDT,10000,50,25,18428,-0.1966,6.182986040128777e-160,0.82,7510,-0.3319,1.5080436098115403e-192,0.749,0.506
SOLUSDT,10000,50,50,18428,-0.2133,1.3912783184206416e-188,0.831,7485,-0.375,1.6027786017871718e-248,0.755,0.4957
SOLUSDT,10000,100,10,18378,-0.1969,4.37850873252064e-160,0.786,7525,-0.3296,4.2413312074027233e-190,0.664,0.4884
SOLUSDT,10000,100,25,18378,-0.2282,9.302023738269217e-216,0.806,7510,-0.3984,3.918023757204482e-284,0.679,0.4874
SOLUSDT,10000,100,50,18378,-0.227,2.4428186969426166e-213,0.837,7485,-0.4486,0.0,0.69,0.503
